ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
AACG,,-0.6932691341096022,0.4489358907117353,,-0.1927099076057029,0.5064684205152075,112.003,2025-08-25,2026-02-21T18:27:00.750185+00:00
AAME,55.25,0.2709811891814122,0.0809801221311055,,0.0312335166905282,,38.967,2025-08-25,2026-02-21T18:27:00.750185+00:00
AAMI,-0.9386013000234944,-0.4235588936826718,0.3480110063909039,,1.0978260869565215,0.3312401883830455,311.19,2025-08-25,2026-02-21T18:27:00.750185+00:00
AAP,-0.847412109375,0.0140518504422533,-0.5159070435300845,,0.0068088969586926,0.4348258706467661,,2025-08-25,2026-02-21T18:27:00.750185+00:00
AAUC,-3.4444444444444446,0.2881439978733628,-1.3001905976257857,,-0.0667277659459927,0.2614940133900047,33.147,2025-08-25,2026-02-21T18:27:00.750185+00:00
AB,-0.5317061598439577,-0.5428403426827118,0.2428099217852645,,0.0354497298426592,,362857.0,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABAT,,68.72114367161856,-0.11526777027803,,-0.1440756906791755,-0.9260110517618586,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABBV,-0.727928288370675,0.0429627204062827,0.272361621058741,,-5.1256830601092895,0.718213058419244,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABCB,0.3639511961212636,0.0794755475306383,0.0677161830925685,,0.0280354842843133,,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABCL,,10.444488030585235,3.1953884998889497,,-0.0344829983040008,,14.752,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABEO,,,,,0.6653359906098694,0.75,14.078,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABOS,,,,,-0.3497698096124773,,573881.0,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABT,-0.9632699502032556,0.0308521867333324,0.1318229649374341,,0.0351824384455651,0.5643511039310716,25.31,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABTC,,0.1293409925359125,-0.5605606725178771,,-0.8692606062700312,0.0556816339763332,32.255,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABUS,,45.54984387336143,4.967156917828546,,0.0304063825684535,,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ABVX,,,,,1.002775476387738,,14.472,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACAD,-0.965386695511087,0.0386087915935082,0.1417586198890518,,0.0324253205931063,0.9216301414391872,5.975,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACCS,,13.924547891498683,-2.7370947012769244,,-0.0154783628779979,0.762319871908913,11.603,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACFN,-0.981878698224852,-0.0022656463977659,0.2599617738919121,,0.1048798252002913,0.7486524822695035,14.459,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACHV,,,,,-0.3052222328885475,,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACLS,-0.5950413223140496,-0.4059835381814689,0.2474110323566322,,0.0306890861839447,0.4489627025248787,556531.0,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACM,-0.3853439999999999,0.0835294348003301,0.1682865012378929,,0.052547405249685,0.0782469055436957,136.555,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACMR,-0.0850661625708886,-0.0711702070785643,0.4784141246216892,,0.030168787064727,0.4850259086603644,15.757,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACNB,1.078090740428403,1.1750085194343636,-0.115278947008238,,0.0294773390425432,,28736.0,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACNT,,-0.7896797390091365,0.146065508017132,,0.0700655401489143,0.2608835513617842,24.626,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACR,,-0.4286401782860758,0.698943437665778,,0.0106988588667674,,283.925,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACT,0.1175510204081633,0.0178510577365731,-0.0238272921779285,,0.0321278743312436,,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ACU,7.004759071980963,0.3812892965749233,0.1745721331813308,,0.0417861099875134,0.4101970516334543,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ADAG,,,,,,,,2025-08-25,2026-02-21T18:27:00.750185+00:00
ADAM,,0.8938967821923225,-1.778147088323506,,0.0061873598594848,,,2025-08-25,2026-02-21T18:27:00.750185+00:00
