ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
AA,0.1184210526315789,0.0313360881542699,0.0965642771450843,,,,39.427,2026-02-15,2026-02-21T18:20:35.825501+00:00
AAMI,-0.145,0.026,0.0693160050958214,,1.24605,0.42700002,311.19,2026-02-15,2026-02-21T18:20:35.825501+00:00
AAUC,-3.4444444444444446,0.2881439978733628,-1.3001905976257857,,,,33.147,2026-02-15,2026-02-21T18:20:35.825501+00:00
ALB,-0.817989417989418,0.1593861557034797,0.1085735792264651,,-0.0434452053393528,0.1386062347386016,33.954,2026-02-15,2026-02-21T18:20:35.825501+00:00
ALMS,-0.954112554112554,-0.9858840074848074,0.6216284216548414,,-0.2878372442972869,,9.823,2026-02-15,2026-02-21T18:20:35.825501+00:00
ALTI,3.9444444444444446,0.1047887432685441,0.1608131508070538,,-0.1385654478199431,0.2758307418148782,7.276,2026-02-15,2026-02-21T18:20:35.825501+00:00
ALXO,-0.2931034482758621,,,,-0.4942857142857143,,34.837,2026-02-15,2026-02-21T18:20:35.825501+00:00
AMBP,-5.0,0.0875856816450875,-0.1660330417249341,,-0.0789473684210526,0.1358543417366946,,2026-02-15,2026-02-21T18:20:35.825501+00:00
ANDE,-0.2625,0.0216422204145918,-0.3254001028577502,,0.0170500919475611,0.0638126878469379,75.377,2026-02-15,2026-02-21T18:20:35.825501+00:00
ARW,1.0161290322580645,0.2009580829114647,0.1165602320128498,,0.0295539121528777,0.1153334560500684,50.285,2026-02-15,2026-02-21T18:20:35.825501+00:00
ASC,0.9166666666666669,-0.1547368859110676,0.1540350899028377,,,,20.316,2026-02-15,2026-02-21T18:20:35.825501+00:00
ASRV,0.7999999999999998,0.177081741787624,0.0321840970450482,,,,,2026-02-15,2026-02-21T18:20:35.825501+00:00
ATMU,0.2692307692307691,0.0981067125645438,0.0103324131990063,,0.1268163804491413,0.2852664576802508,161.955,2026-02-15,2026-02-21T18:20:35.825501+00:00
ATNI,-1.079646017699115,0.0264162150954603,-0.0009015101217213,,0.0096019066738004,0.5690443043157809,109.855,2026-02-15,2026-02-21T18:20:35.825501+00:00
AVIR,0.4324324324324324,,,,-0.1331591614415099,,0.331,2026-02-15,2026-02-21T18:20:35.825501+00:00
BC,-1.2258064516129032,0.154905186596242,0.040577267845586,,0.0115034448818897,0.2307692307692307,140.428,2026-02-15,2026-02-21T18:20:35.825501+00:00
BG,-0.8876146788990826,0.7163774403470715,0.6383510072044585,,,,89.812,2026-02-15,2026-02-21T18:20:35.825501+00:00
BIOA,0.4088511070802318,1.0038538976660505,-0.810726404732597,,-0.0726977193437707,,2.571,2026-02-15,2026-02-21T18:20:35.825501+00:00
BLFY,-0.4736842105263158,0.3306945324044754,-0.034774567837241,,-0.0059415325209846,,356329.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
BORR,1.5,0.1469370860927152,-0.2008048107213358,,0.0243838259801771,0.8643089137495489,175.879,2026-02-15,2026-02-21T18:20:35.825501+00:00
BTE,-0.6923076923076923,-0.1367688947658853,0.1589720057427879,,0.0076295451079432,0.2234586826037462,48.05,2026-02-15,2026-02-21T18:20:35.825501+00:00
BTU,-0.657896,-0.0697610294117646,0.1871166131130327,,,,12.838,2026-02-15,2026-02-21T18:20:35.825501+00:00
BUD,-0.0388349514563106,0.0481099656357388,0.019288369507773,,0.0224432046009142,0.5537126325940213,75.033,2026-02-15,2026-02-21T18:20:35.825501+00:00
BWLP,-0.3448275862068964,0.1723458145812344,-0.3068476185789206,,0.0319495846962659,0.0960855638544846,56.525,2026-02-15,2026-02-21T18:20:35.825501+00:00
CALY,-0.9562575941676792,-0.0778951525323329,-0.1755995047482103,,,,179.929,2026-02-15,2026-02-21T18:20:35.825501+00:00
CAMT,-2.7575757575757573,0.1215328467153284,-0.0177391316491715,,-0.0920029202333418,0.5003611311739541,84.251,2026-02-15,2026-02-21T18:20:35.825501+00:00
CAPR,0.4210526315789473,-1.0,,,-0.2929706832541496,,17.34,2026-02-15,2026-02-21T18:20:35.825501+00:00
CAT,-0.1141868512110726,0.1799568300955905,0.0202421009658839,,0.1126747349657566,0.2861548110594261,206.67,2026-02-15,2026-02-21T18:20:35.825501+00:00
CATX,0.9444444444444444,,,,-0.1072142220167123,,1.368,2026-02-15,2026-02-21T18:20:35.825501+00:00
CCJ,-1.00405,0.0150079489643526,1.2534116025404178,,0.0288360904677908,0.2271547883723447,14.673,2026-02-15,2026-02-21T18:20:35.825501+00:00
CERS,-1.0,0.1451854749331769,-0.2080855403189943,,-0.0003091290695215,0.5339861095297734,157.845,2026-02-15,2026-02-21T18:20:35.825501+00:00
CGEM,0.2222222222222223,,,,-0.1121255558091051,,0.263,2026-02-15,2026-02-21T18:20:35.825501+00:00
CGNX,-0.4117647058823529,0.098631162814998,-0.2002780617934662,,0.0218942141603229,0.6574673652006435,5.133,2026-02-15,2026-02-21T18:20:35.825501+00:00
CHRW,-0.0819672131147539,-0.0650046264256847,-0.0542720280606577,,0.0738608195391643,0.0817947704794263,75.604,2026-02-15,2026-02-21T18:20:35.825501+00:00
CLMT,-4.0593220338983045,-0.020356234096692,0.0171674920110276,,-0.4507406874730332,0.3466604823747681,990098.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
CMC,-2.025974025974026,0.1103397461879491,-0.0440616408300211,,0.0411114530327587,0.1920184199740886,77.717,2026-02-15,2026-02-21T18:20:35.825501+00:00
CMDB,,,,,0.0107686855877675,0.122836221362743,29.257,2026-02-15,2026-02-21T18:20:35.825501+00:00
CMPR,-4.9,0.1097183756957023,0.2144001336887616,,-0.0929740036817283,0.4679687814838198,158355.0,2026-02-15,2026-02-21T18:20:35.825501+00:00
CMPS,1.5714285714285712,,,,-3.6635630869091007,,93.597,2026-02-15,2026-02-21T18:20:35.825501+00:00
CMRE,8.4864,-0.0025559813063412,-41.182042588540696,,0.0483303378518127,0.5747042208484332,70.165,2026-02-15,2026-02-21T18:20:35.825501+00:00
CMTL,-0.8733459357277883,-0.041174438687392,-0.1765484062185472,,-0.0569054120885028,0.3311297643922473,92.564,2026-02-15,2026-02-21T18:20:35.825501+00:00
