ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
AA,,1.0764576739948843,,,0.0391700601124684,0.2214572576018359,39.427,2025-01-08,2026-02-21T18:20:28.537618+00:00
AAUC,,-0.2372016188373886,-0.060806131585795,,-0.0297311757985915,0.3934654601219812,33.147,2025-01-08,2026-02-21T18:20:28.537618+00:00
ALB,,,,,0.0075583869404629,0.1122120169227734,33.954,2025-01-08,2026-02-21T18:20:28.537618+00:00
ALMS,,,,,-0.3643133681656882,,9.823,2025-01-08,2026-02-21T18:20:28.537618+00:00
ALTI,,0.1224519805156298,,,-0.0877138890829614,0.0442177508579143,7.276,2025-01-08,2026-02-21T18:20:28.537618+00:00
ALXO,,,,,-0.2566758788220176,,34.837,2025-01-08,2026-02-21T18:20:28.537618+00:00
AMBP,,-0.3138600338289781,,,0.0774647887323943,0.1263598326359832,,2025-01-08,2026-02-21T18:20:28.537618+00:00
ANDE,6.1899394775390615,1.016065175327952,,,0.0330042907773904,0.0682358576534242,75.377,2025-01-08,2026-02-21T18:20:28.537618+00:00
ARW,,,,,0.0172201700667106,0.1103011900379479,50.285,2025-01-08,2026-02-21T18:20:28.537618+00:00
ASC,,-0.4692835737033594,,,0.0109139724026791,0.2867538609685637,20.316,2025-01-08,2026-02-21T18:20:28.537618+00:00
ASRV,,0.3054510734151554,,,0.0082891988661793,,,2025-01-08,2026-02-21T18:20:28.537618+00:00
ATMU,-0.2739750008753197,,,,0.1763412489006156,0.2633390705679862,161.955,2025-01-08,2026-02-21T18:20:28.537618+00:00
ATNI,,0.0478395433314629,,,0.0072953035079153,0.5677880674391298,109.855,2025-01-08,2026-02-21T18:20:28.537618+00:00
ATRO,,0.0985261943813384,,,-0.0110583099372503,0.2400210990697228,696416.0,2025-01-08,2026-02-21T18:20:28.537618+00:00
AVIR,,,,,-0.0764309004778212,,0.331,2025-01-08,2026-02-21T18:20:28.537618+00:00
BC,,,,,-0.0435977382021878,0.2192397610182699,140.428,2025-01-08,2026-02-21T18:20:28.537618+00:00
BG,,0.2114218731513659,,,0.0607283365277917,0.0798257273667109,89.812,2025-01-08,2026-02-21T18:20:28.537618+00:00
BIOA,,,,,-0.0653891503959743,,2.571,2025-01-08,2026-02-21T18:20:28.537618+00:00
BLFY,,0.1889908562083642,,,-0.0080885495999373,,356329.0,2025-01-08,2026-02-21T18:20:28.537618+00:00
BORR,38.0625,0.4063573023351148,,,0.0264773985704218,0.8643101482326112,175.879,2025-01-08,2026-02-21T18:20:28.537618+00:00
BTE,8.798011274115051,-0.1977895335553561,,,-0.0092248640017645,0.2479958545432377,48.05,2025-01-08,2026-02-21T18:20:28.537618+00:00
BTU,,0.1354241507347711,,,0.0083824133680317,0.147894221351616,12.838,2025-01-08,2026-02-21T18:20:28.537618+00:00
BUD,-0.87698149604,,,,0.0155936449505988,0.5523212721514723,75.033,2025-01-08,2026-02-21T18:20:28.537618+00:00
BWLP,2.441885279683748,0.2067521166911656,,,0.0171005373314918,0.0373086213149454,56.525,2025-01-08,2026-02-21T18:20:28.537618+00:00
CALY,,-0.3062971756496566,,,-0.6282759480001662,0.6422544353093899,179.929,2025-01-08,2026-02-21T18:20:28.537618+00:00
CAMT,0.0619974370130893,0.1883673174459981,,,0.0600999572132147,0.4956135489756422,84.251,2025-01-08,2026-02-21T18:20:28.537618+00:00
CAPR,,585.6305256117175,,,-0.0489240252542073,,17.34,2025-01-08,2026-02-21T18:20:28.537618+00:00
CAT,,,,,0.1431942948027294,0.3426456984273821,206.67,2025-01-08,2026-02-21T18:20:28.537618+00:00
CATX,,,,,-0.1381954669932706,,1.368,2025-01-08,2026-02-21T18:20:28.537618+00:00
CCJ,-0.99609375,,,,0.0212863710063012,0.2109581608099576,14.673,2025-01-08,2026-02-21T18:20:28.537618+00:00
CERS,,0.4862414900959872,,,-0.0449015940867396,0.5389793146883426,157.845,2025-01-08,2026-02-21T18:20:28.537618+00:00
CGEM,,,,,-0.0807127562981935,,0.263,2025-01-08,2026-02-21T18:20:28.537618+00:00
CGNX,-0.2153350654326457,,,,0.0186793453728323,0.6872877518677836,5.133,2025-01-08,2026-02-21T18:20:28.537618+00:00
CHRW,,,,,0.0867024263509036,0.0789173590373975,75.604,2025-01-08,2026-02-21T18:20:28.537618+00:00
CLMT,,-0.4456582999036257,,,0.0577386863384877,0.0880463401790416,990098.0,2025-01-08,2026-02-21T18:20:28.537618+00:00
CMC,,,,,-0.0437648457092304,0.1612273133354489,77.717,2025-01-08,2026-02-21T18:20:28.537618+00:00
CMPR,,,,,-0.1101181673243541,0.4790488085617025,158355.0,2025-01-08,2026-02-21T18:20:28.537618+00:00
CMPS,,,,,-0.2801124793949384,,93.597,2025-01-08,2026-02-21T18:20:28.537618+00:00
CMRE,-0.9888878745938368,33.82785500904594,,,0.0139135887048968,0.2835031901721909,70.165,2025-01-08,2026-02-21T18:20:28.537618+00:00
