ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
A,160.27,0.245,,,96.43,0.094,2078871.0,2026-02-21,2026-02-21T22:39:35.261112+00:00
AACB,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AACBR,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AACBU,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AACG,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AACIU,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AACOU,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAL,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAME,,0.208,-0.1307146674821355,,0.04745,0.12512,38.967,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAMI,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAON,-0.686,0.168,0.2658064341373001,,0.120790005,0.26876,8.581,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAP,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAPG,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAPL,288.62,0.183,,,169.21,0.157,48279330.0,2026-02-21,2026-02-21T22:39:35.261112+00:00
AARD,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AAT,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
AB,44.11,-0.035,,,32.28,0.90107,362857.0,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABAT,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABBV,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABCB,0.169,0.034,-0.0086944528391947,,0.10531,0.0,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABCL,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABEO,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABG,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABLV,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABLVW,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABM,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABNB,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABP,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABPWW,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABR,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABSI,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABT,141.23,-0.808,,,105.27,0.044,9048763.0,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABTC,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABTS,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABUS,,-0.605,-6.038608773117838,,-0.45881,-0.98857003,5.951,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABVC,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABVE,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABVEW,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABX,,1.237,-0.1537345100597018,,0.03176,0.87516,94.287,2026-02-21,2026-02-21T22:39:35.261112+00:00
ABXL,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACA,3.353,0.246,-0.0833375060766021,,0.05921,0.21614,63.635,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACAAU,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACAD,28.35,1.128,,,13.4,0.113,1362273.0,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACB,6.665,-0.947,,,3.28,0.068,1690698.0,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACCL,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACCO,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACCS,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
ACDC,,,,,,,,2026-02-21,2026-02-21T22:39:35.261112+00:00
