timestamp,open,high,low,close,volume
2026-01-15 09:30:00-05:00,1538.1,1540.83,1525.0,1535.73,39464.0
2026-01-15 09:31:00-05:00,1539.98,1542.31,1532.77,1537.0,4464.0
2026-01-15 09:32:00-05:00,1535.0,1548.99,1534.0,1546.42,4580.0
2026-01-15 09:33:00-05:00,1548.13,1552.84,1540.22,1540.75,11113.0
2026-01-15 09:34:00-05:00,1541.65,1545.02,1536.67,1544.27,7261.0
2026-01-15 09:35:00-05:00,1540.13,1540.13,1533.87,1539.08,7030.0
2026-01-15 09:36:00-05:00,1540.86,1546.65,1539.4,1543.27,4816.0
2026-01-15 09:37:00-05:00,1544.33,1549.0,1542.81,1547.24,2553.0
2026-01-15 09:38:00-05:00,1547.72,1556.61,1546.88,1551.4,10299.0
2026-01-15 09:39:00-05:00,1551.4,1558.0,1549.89,1558.0,12357.0
2026-01-15 09:40:00-05:00,1559.42,1564.74,1556.42,1558.62,6005.0
2026-01-15 09:41:00-05:00,1559.61,1564.57,1557.51,1564.41,9592.0
2026-01-15 09:42:00-05:00,1562.82,1562.82,1556.87,1559.77,5514.0
2026-01-15 09:43:00-05:00,1559.77,1564.0,1554.01,1562.31,2800.0
2026-01-15 09:44:00-05:00,1564.41,1568.13,1563.66,1568.13,3842.0
2026-01-15 09:45:00-05:00,1568.22,1569.41,1553.33,1555.25,7525.0
2026-01-15 09:46:00-05:00,1553.33,1560.52,1553.33,1558.48,7041.0
2026-01-15 09:47:00-05:00,1557.87,1557.87,1551.11,1554.7,3665.0
2026-01-15 09:48:00-05:00,1552.53,1552.53,1548.49,1549.19,2291.0
2026-01-15 09:49:00-05:00,1549.87,1551.74,1546.8,1551.74,2334.0
2026-01-15 09:50:00-05:00,1551.73,1553.24,1547.3,1547.31,2074.0
2026-01-15 09:51:00-05:00,1547.69,1550.94,1545.96,1545.96,976.0
2026-01-15 09:52:00-05:00,1547.85,1547.85,1542.4,1544.22,1550.0
2026-01-15 09:53:00-05:00,1544.41,1548.73,1544.07,1547.06,3681.0
2026-01-15 09:54:00-05:00,1547.05,1547.12,1545.51,1545.78,1570.0
2026-01-15 09:55:00-05:00,1545.79,1545.84,1543.99,1545.0,548.0
2026-01-15 09:56:00-05:00,1543.99,1548.99,1543.99,1548.99,3287.0
2026-01-15 09:57:00-05:00,1547.28,1547.82,1542.17,1543.6,1673.0
2026-01-15 09:58:00-05:00,1544.13,1550.04,1544.13,1549.73,2152.0
2026-01-15 09:59:00-05:00,1550.58,1550.58,1541.01,1541.01,5403.0
2026-01-15 10:00:00-05:00,1543.27,1544.62,1540.0,1541.39,1061.0
2026-01-15 10:01:00-05:00,1542.63,1543.52,1541.92,1542.43,1388.0
2026-01-15 10:02:00-05:00,1542.43,1547.0,1542.42,1545.33,3237.0
2026-01-15 10:03:00-05:00,1545.33,1549.35,1542.22,1549.35,5928.0
2026-01-15 10:04:00-05:00,1547.57,1547.57,1543.57,1545.43,1070.0
2026-01-15 10:05:00-05:00,1544.35,1548.03,1542.95,1547.05,2047.0
