timestamp,action,price,exec_price,qty,gross_notional,commission,realized_pnl_approx,zscore,regime,reason,satellite_before,satellite_after,working_after
2026-02-19 09:52:00-05:00,SELL,166.11000061035156,166.08508411026,30,4982.5525233078,0.49825525233078,-0.49825525233078,2.5010295585033404,RANGE,zscore_upside_sell,0,-30,217
2026-02-19 10:20:00-05:00,BUY,162.85499572753906,162.8794239768982,30,4886.3827193069465,0.48863827193069465,95.68116572892298,-0.8603791425038981,RANGE,mean_reversion_buyback_short,-30,0,247
2026-02-19 11:04:00-05:00,BUY,162.5500030517578,162.5743855522156,30,4877.231566566468,0.48772315665664684,-0.48772315665664684,-2.081530635150738,RANGE,zscore_downside_entry,0,30,277
2026-02-19 11:28:00-05:00,BUY,162.5399932861328,162.56437428512575,30,4876.931228553773,0.4876931228553773,-0.4876931228553773,-2.4150533687229103,RANGE,zscore_downside_entry,30,60,307
2026-02-19 11:36:00-05:00,SELL,163.94000244140625,163.91541144104005,15,2458.731171615601,0.2458731171615601,19.944599718379028,0.8002047377363556,RANGE,mean_reversion_exit_long,60,45,292
2026-02-19 11:38:00-05:00,SELL,164.0749969482422,164.05038569869996,15,2460.7557854804995,0.24607557854804996,21.96901112189112,0.8848447227866425,RANGE,mean_reversion_exit_long,45,30,277
2026-02-19 11:40:00-05:00,SELL,163.9600067138672,163.9354127128601,15,2459.031190692902,0.2459031190692902,20.24458879377226,0.6693016279087703,RANGE,mean_reversion_exit_long,30,15,262
2026-02-19 11:42:00-05:00,SELL,164.00999450683594,163.98539300765992,15,2459.780895114899,0.24597808951148992,20.994218245327197,0.6993805814511447,RANGE,mean_reversion_exit_long,15,0,247
2026-02-19 12:06:00-05:00,SELL,164.6699981689453,164.64529766921999,15,2469.6794650383,0.24696794650383,-0.24696794650383,2.1249723890776493,RANGE,zscore_upside_sell,0,-15,232
2026-02-19 12:14:00-05:00,SELL,164.27000427246094,164.24536377182008,15,2463.6804565773014,0.24636804565773016,-0.24636804565773016,2.267398185430861,RANGE,zscore_upside_sell,-15,-30,217
