timestamp,action,price,exec_price,qty,gross_notional,commission,realized_pnl_approx,zscore,rvol,vwap_dist_bps,reason,satellite_before,satellite_after,working_after
2026-02-18 10:13:00-05:00,SELL,199.8188934326172,199.7889205986023,30,5993.667617958069,0.599366761795807,-0.599366761795807,3.6406964704005413,0.6158745487572141,98.88100902370117,zscore_upside_sell,0,-30,20
2026-02-18 14:31:00-05:00,BUY,199.8699951171875,199.8999756164551,40,7995.999024658204,0.7995999024658205,-4.131250438049994,-1.4083450425376898,1.3975967905327942,19.72148216140727,mean_reversion_buyback_short_satellite,-30,10,60
2026-02-18 14:51:00-05:00,BUY,199.00999450683594,199.03984600601197,20,3980.7969201202395,0.398079692012024,-0.398079692012024,-5.11282325129782,1.3245596348072215,60.7935423515993,zscore_downside_entry,10,30,80
2026-02-18 15:55:00-05:00,SELL,200.35000610351562,200.3199536026001,30,6009.598608078003,0.6009598608078003,29.200971932405242,1.0521707150595436,0.47777460602837946,23.308068225308965,eod_force_flatten,30,0,50
2026-02-19 10:11:00-05:00,SELL,202.9600067138672,202.9295627128601,30,6087.8868813858035,0.6087886881385803,-0.6087886881385803,6.114406414354063,0.9894591227090279,99.56692653228029,zscore_upside_sell,0,-30,20
2026-02-19 11:27:00-05:00,BUY,201.3000030517578,201.3301980522156,39,7851.877724036408,0.7851877724036408,47.195752046931695,-1.1414269881720132,1.3561410063515467,19.616194140338884,mean_reversion_buyback_short_satellite,-30,9,59
2026-02-19 12:46:00-05:00,BUY,200.67379760742188,200.703898677063,19,3813.3740748641967,0.3813374074864197,-0.3813374074864197,-3.8840342471099003,1.507765956325063,48.152992008233895,zscore_downside_entry,9,28,78
2026-02-19 13:02:00-05:00,BUY,200.41000366210938,200.4400651626587,2,400.8801303253174,0.04008801303253174,-0.04008801303253174,-3.6181137513349055,0.48225752473383676,57.87472512795476,zscore_downside_entry,28,30,80
2026-02-19 14:15:00-05:00,SELL,201.74000549316406,201.7097444923401,39,7866.680035201263,0.7866680035201263,24.279679107228255,1.4365453403737887,1.2125373170926077,11.323420910655663,mean_reversion_exit_long_satellite,30,-9,41
2026-02-19 14:33:00-05:00,SELL,202.8300018310547,202.79957733078004,21,4258.791123946381,0.4258791123946381,-0.4258791123946381,3.4415114801695013,0.7961138958378847,62.399271819370625,zscore_upside_sell,-9,-30,20
2026-02-19 15:55:00-05:00,BUY,202.87339782714844,202.90382883682253,30,6087.114865104676,0.6087114865104676,-13.544752213744866,6.449756045575685,2.338937728835272,58.3881490728946,eod_force_flatten,-30,0,50
2026-02-20 10:48:00-05:00,SELL,203.7794952392578,203.74892831497192,30,6112.467849449157,0.6112467849449158,-0.6112467849449158,3.3701314794111377,1.3157710136409742,112.79839989334762,zscore_upside_sell,0,-30,20
2026-02-20 12:11:00-05:00,BUY,201.55999755859375,201.59023155822757,19,3830.2143996063237,0.38302143996063237,40.63221693818198,-1.1554672909408508,2.0645964543465936,19.995324621732454,mean_reversion_buyback_short_satellite,-30,-11,39
2026-02-20 12:12:00-05:00,BUY,201.4550018310547,201.48522008132937,19,3828.219181545258,0.3828219181545258,24.517968651913485,-1.3493286923173167,1.0867133461671596,25.114766355819803,mean_reversion_buyback_short_satellite,-11,8,58
2026-02-20 12:37:00-05:00,BUY,199.55999755859375,199.58993155822756,20,3991.7986311645514,0.39917986311645515,-0.39917986311645515,-5.738330127917087,0.8451762200847276,107.52693234533047,zscore_downside_entry,8,28,78
2026-02-20 12:48:00-05:00,BUY,198.9600067138672,198.98985071487428,2,397.97970142974856,0.039797970142974856,-0.039797970142974856,-9.387094633703471,0.5225246306628643,123.43779287097465,zscore_downside_entry,28,30,80
