timestamp,action,price,exec_price,qty,gross_notional,commission,realized_pnl_approx,zscore,regime,reason,satellite_before,satellite_after,working_after
2026-02-19 09:50:00-05:00,SELL,642.469970703125,642.3736002075195,7,4496.615201452637,0.4496615201452637,-0.4496615201452637,2.359865034603864,RANGE,zscore_upside_sell,0,-7,55
2026-02-19 10:16:00-05:00,SELL,643.3699951171875,643.27348961792,7,4502.91442732544,0.450291442732544,-0.450291442732544,3.0869407626959027,RANGE,zscore_upside_sell,-7,-14,48
2026-02-19 10:24:00-05:00,SELL,643.4949951171875,643.39847086792,7,4503.78929607544,0.450378929607544,-0.450378929607544,3.1118591252863292,RANGE,zscore_upside_sell,-14,-21,41
2026-02-19 10:34:00-05:00,SELL,644.155029296875,644.0584060424804,7,4508.408842297363,0.4508408842297363,-0.4508408842297363,3.6248665415050523,RANGE,zscore_upside_sell,-21,-28,34
2026-02-19 11:18:00-05:00,SELL,645.3679809570312,645.2711757598877,3,1935.813527279663,0.1935813527279663,-0.1935813527279663,4.062110727167482,RANGE,zscore_upside_sell,-28,-31,31
2026-02-19 14:38:00-05:00,BUY,642.9749755859375,643.0714218322754,7,4501.499952825928,0.4501499952825928,2.3334152760084885,-0.9187224803879823,RANGE,mean_reversion_buyback_short,-31,-24,38
2026-02-19 14:42:00-05:00,BUY,642.4149780273438,642.5113402740479,7,4497.5793819183355,0.4497579381918336,6.254378240691512,-1.5289203445949897,RANGE,mean_reversion_buyback_short,-24,-17,45
2026-02-19 14:46:00-05:00,BUY,642.5250244140625,642.6214031677247,7,4498.349822174073,0.4498349822174073,5.4838609409287535,-1.1493384682820948,RANGE,mean_reversion_buyback_short,-17,-10,52
2026-02-19 14:48:00-05:00,BUY,642.7750244140625,642.8714406677246,7,4500.100084674073,0.4500100084674073,3.733423414679018,-0.8103262034165554,RANGE,mean_reversion_buyback_short,-10,-3,59
2026-02-19 15:04:00-05:00,BUY,643.094970703125,643.1914349487305,7,4502.340044641113,0.4502340044641113,0.38268319100967174,-0.6154098742548282,RANGE,mean_reversion_buyback_short,-3,4,66
2026-02-19 15:52:00-05:00,SELL,643.89501953125,643.7984352783203,7,4506.589046948242,0.4506589046948242,1.9773424136644686,0.7593339440679219,RANGE,mean_reversion_exit_long,4,-3,59
2026-02-19 15:56:00-05:00,BUY,644.4099731445312,644.506634640503,3,1933.519903921509,0.19335199039215092,-2.317950076940113,1.672199178517059,RANGE,eod_force_flatten,-3,0,62
