date,open,high,low,close,adj_close,volume
2025-03-05,76.76000213623047,79.41000366210938,75.5199966430664,79.05000305175781,78.56903839111328,15404800
2025-03-06,77.12999725341797,78.56999969482422,75.86000061035156,76.47000122070312,76.00473022460938,13195500
2025-03-07,76.6500015258789,79.48999786376953,75.33999633789062,79.01000213623047,78.52928161621094,14160300
2025-03-10,76.9000015258789,77.37999725341797,72.69999694824219,73.80999755859375,73.36091613769531,16652700
2025-03-11,74.08000183105469,75.38999938964844,72.44999694824219,73.36000061035156,72.91365051269531,12617500
2025-03-12,75.30999755859375,77.66000366210938,75.16999816894531,76.58999633789062,76.12399291992188,12702100
2025-03-13,76.11000061035156,77.2699966430664,74.55000305175781,75.26000213623047,74.8021011352539,9746200
2025-03-14,76.76000213623047,79.08000183105469,76.5199966430664,78.69000244140625,78.21122741699219,11862000
2025-03-17,77.11000061035156,79.13999938964844,77.11000061035156,78.30999755859375,77.83353424072266,9555200
2025-03-18,77.4800033569336,77.83999633789062,76.16999816894531,77.36000061035156,76.88931274414062,8094700
2025-03-19,77.37000274658203,79.4800033569336,76.86000061035156,77.93000030517578,77.45585632324219,8907200
2025-03-20,76.69000244140625,78.0999984741211,76.44000244140625,77.55000305175781,77.07815551757812,10689100
2025-03-21,76.0,76.37000274658203,75.2699966430664,75.83999633789062,75.37855529785156,20062000
2025-03-24,77.73999786376953,78.77999877929688,77.37999725341797,77.98999786376953,77.5154800415039,7954800
2025-03-25,77.8499984741211,78.37000274658203,77.47000122070312,77.66999816894531,77.19743347167969,6437300
2025-03-26,77.75,77.86000061035156,75.12999725341797,76.13999938964844,75.6767349243164,7325600
2025-03-27,75.88999938964844,76.06999969482422,74.3499984741211,74.80999755859375,74.35482788085938,8441800
2025-03-28,74.62999725341797,75.30000305175781,72.2300033569336,72.61000061035156,72.16822052001953,9541500
2025-03-31,71.5999984741211,72.8499984741211,70.44000244140625,72.69999694824219,72.25765991210938,11778100
2025-04-01,72.04000091552734,72.8499984741211,70.75,72.83000183105469,72.38687896728516,9066200
2025-04-02,71.72000122070312,74.80000305175781,71.55999755859375,73.77999877929688,73.33110046386719,7641400
2025-04-03,70.22000122070312,70.55000305175781,65.11000061035156,65.22000122070312,64.82318115234375,19479400
2025-04-04,62.5099983215332,63.06999969482422,57.970001220703125,59.09000015258789,58.73047637939453,26250900
2025-04-07,57.91999816894531,66.0999984741211,56.31999969482422,62.20000076293945,61.821556091308594,28191400
