timestamp,action,price,exec_price,qty,gross_notional,commission,realized_pnl_approx,zscore,rvol,vwap_dist_bps,reason,satellite_before,satellite_after,working_after
2026-02-17 10:16:00-05:00,BUY,402.864990234375,402.92541998291017,15,6043.881299743653,0.6043881299743653,-0.6043881299743653,-7.943028891302497,1.0268917074892163,96.186706857935,zscore_downside_entry,0,15,65
2026-02-17 11:05:00-05:00,SELL,406.1535949707031,406.0926719314575,19,7715.760766697693,0.7715760766697694,46.73720315154042,1.1121660543260323,1.4732154386045457,22.814923411986232,mean_reversion_exit_long_satellite,15,-4,46
2026-02-17 11:23:00-05:00,SELL,408.9200134277344,408.8586754257202,11,4497.445429682923,0.4497445429682923,-0.4497445429682923,3.135262532917901,1.0001285336290366,82.96227319629597,zscore_upside_sell,-4,-15,35
2026-02-17 12:22:00-05:00,BUY,404.8949890136719,404.955723262024,9,3644.601509358216,0.3644601509358216,28.12370093610014,-1.6252710277709872,1.2981418176364419,25.482800607311546,mean_reversion_buyback_short_satellite,-15,-6,44
2026-02-17 12:23:00-05:00,BUY,404.989990234375,405.0507387329102,9,3645.456648596192,0.3645456648596192,18.057468901180428,-1.3745086565012807,1.3573693061325414,23.042492143725926,mean_reversion_buyback_short_satellite,-6,3,53
2026-02-17 12:29:00-05:00,SELL,406.6300048828125,406.5690103820801,9,3659.121093438721,0.3659121093438721,4.188902838165797,1.6258864294966524,1.1431223673033304,17.528040351176152,mean_reversion_exit_long_satellite,3,-6,44
2026-02-17 12:32:00-05:00,BUY,405.260009765625,405.32079876708985,9,3647.8871889038087,0.3647887188903809,7.124480971050971,-1.503778567577212,1.1899554753260309,16.24612771470892,mean_reversion_buyback_short_satellite,-6,3,53
2026-02-17 13:20:00-05:00,SELL,407.80499267578125,407.7438219268799,9,3669.694397341919,0.3669694397341919,6.9021000396359105,2.894500710897325,3.2707859633018184,48.64783021322104,mean_reversion_exit_long_satellite,3,-6,44
2026-02-17 15:55:00-05:00,BUY,409.9114990234375,409.9729857482911,6,2459.8379144897463,0.24598379144897464,-13.620966719916122,2.607716010503348,1.428395330753848,41.036539790427334,eod_force_flatten,-6,0,50
2026-02-18 10:04:00-05:00,SELL,415.43499755859375,415.37268230895995,15,6230.590234634399,0.62305902346344,-0.62305902346344,2.6426427799503536,1.8094885375928325,84.8466981110233,zscore_upside_sell,0,-15,35
