timestamp,action,price,exec_price,qty,gross_notional,commission,realized_pnl_approx,zscore,regime,reason,satellite_before,satellite_after,working_after
2026-01-30 09:52:00-05:00,SELL,1462.06,1461.8406909999999,9,13156.566218999998,1.0,-1.0,2.7339244995967973,RANGE,zscore_upside_sell,0,-9,18
2026-01-30 10:02:00-05:00,BUY,1443.57,1443.7865355000001,9,12994.0788195,1.0,161.48739949999776,-1.2182025777974606,RANGE,mean_reversion_buyback_short,-9,0,27
2026-01-30 11:18:00-05:00,BUY,1436.99,1437.2055485,9,12934.8499365,1.0,-1.0,-2.932136758620286,RANGE,zscore_downside_entry,0,9,36
2026-01-30 15:56:00-05:00,SELL,1424.06,1423.846391,9,12814.617519,1.0,-121.23241750000034,-5.746960065227372,RANGE,eod_force_flatten,9,0,27
2026-02-02 10:46:00-05:00,SELL,1439.35,1439.1340974999998,8,11513.072779999999,1.0,-1.0,2.6072085738518185,RANGE,zscore_upside_sell,0,-8,19
2026-02-02 15:56:00-05:00,BUY,1439.96,1440.1759940000002,8,11521.407952000001,1.0,-9.335172000002785,2.3098414745924956,RANGE,eod_force_flatten,-8,0,27
2026-02-03 10:00:00-05:00,BUY,1394.36,1394.569154,11,15340.260694,1.0,-1.0,-3.5703432036290006,RANGE,zscore_downside_entry,0,11,38
2026-02-03 15:56:00-05:00,SELL,1393.65,1393.4409525,11,15327.8504775,1.0,-13.410216499999251,-0.554502245269765,RANGE,eod_force_flatten,11,0,27
2026-02-04 10:36:00-05:00,BUY,1361.64,1361.8442460000003,11,14980.286706000004,1.0,-1.0,-3.4982160711899852,RANGE,zscore_downside_entry,0,11,38
2026-02-04 15:56:00-05:00,SELL,1340.22,1340.018967,11,14740.208637,1.0,-241.078069000004,-5.5869643139275516,RANGE,eod_force_flatten,11,0,27
2026-02-05 10:34:00-05:00,BUY,1329.02,1329.2193530000002,9,11962.974177000002,1.0,-1.0,-2.790134844377521,RANGE,zscore_downside_entry,0,9,36
2026-02-05 11:16:00-05:00,SELL,1346.1,1345.898085,9,12113.082765000001,1.0,149.1085879999987,0.6561298544469704,RANGE,mean_reversion_exit_long,9,0,27
2026-02-05 11:54:00-05:00,SELL,1360.56,1360.355916,5,6801.77958,1.0,-1.0,3.5977904416210587,RANGE,zscore_upside_sell,0,-5,22
2026-02-05 13:40:00-05:00,BUY,1344.7,1344.9017050000002,5,6724.508525000001,1.0,76.2710549999988,-0.65903390820409,RANGE,mean_reversion_buyback_short,-5,0,27
2026-02-06 10:34:00-05:00,SELL,1397.13,1396.9204305,8,11175.363444,1.0,-1.0,2.969871495218763,RANGE,zscore_upside_sell,0,-8,19
