symbol,total_return,buy_hold_return,alpha_pct,sharpe,max_dd,trade_count,win_rate,profit_factor,avg_trades_per_day,final_equity,n_days
PLTR,6.1060174154511815,4.274174368103734,1.8318430473474479,5.145474581390335,5.224503591549107,88,50.0,55.10315433180033,12.571428571428571,53053.00870772559,7
AMD,1.5448846031739683,0.1601077360466885,1.3847768671272798,1.3772305278583643,6.564773759249111,78,50.0,6.063771916154139,11.142857142857142,50772.44230158698,7
TSLA,0.0451660829957401,-0.7693657591864578,0.8145318421821979,0.1955407787395965,4.171850095089198,89,43.82022471910113,2.2113790583510795,12.714285714285714,50022.58304149787,7
NVDA,-4.034719677067766,-5.254275891204574,1.2195562141368077,-4.8530502355452745,8.674237526433377,92,42.391304347826086,1.1612617429701957,13.142857142857142,47982.640161466115,7
META,0.5700814184912639,1.2705514816487185,-0.7004700631574545,1.1788951190032302,4.021378295405582,65,23.076923076923077,0.5229650656865521,9.285714285714286,50285.04070924563,7
COIN,6.344249623588705,8.106438841104824,-1.7621892175161191,3.7312238973403904,9.463690383018635,85,47.05882352941176,0.9397893594566067,12.142857142857142,53172.12481179435,7
