ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
OPY,2024-09-30,2024-09-30,,373352000.0,0.029251478209391314,0.34362210460905523
OPY,2024-12-31,2024-12-31,0.92,375417000.0,0.012616489984066228,0.29589496479914335
OPY,2025-03-31,2025-03-31,2.72,367825000.0,0.0351440959523815,0.36153605654863047
OPY,2025-06-30,2025-06-30,1.91,373178000.0,0.024166590474746282,0.3404889891687077
OPY,2025-09-30,2025-09-30,1.9,424438000.0,0.023592973397053487,0.3000815195623389
OPY,2025-12-31,2025-12-31,6.51,,,
