ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
BSX,2024-06-30,2024-06-30,,,,
BSX,2024-09-30,2024-09-30,,4209000000.0,0.022599961367587407,0.6882870040389641
BSX,2024-12-31,2024-12-31,0.38,4561000000.0,0.025999081304547544,0.6785792589344442
BSX,2025-03-31,2025-03-31,0.45,4663000000.0,0.03034395822078156,0.688398027021231
BSX,2025-06-30,2025-06-30,0.53,5061000000.0,0.03555178874119012,0.67654613712705
BSX,2025-09-30,2025-09-30,0.51,5065000000.0,0.032271852960034195,0.6993089832181638
BSX,2025-12-31,2025-12-31,0.45,,,
