ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
AMSC,2024-09-30,2024-09-30,,,,
AMSC,2024-12-31,2024-12-31,0.06,61403000.0,0.012793497892835641,0.2658827744572741
AMSC,2025-03-31,2025-03-31,0.03,66655000.0,0.006113213673305803,0.26541144700322555
AMSC,2025-06-30,2025-06-30,0.17,72358000.0,0.020185160724792563,0.3384421902208464
AMSC,2025-09-30,2025-09-30,0.11,65862000.0,0.013881501657012935,0.3103306914457502
AMSC,2025-12-31,2025-12-31,2.62,74529000.0,0.21944504466913545,0.3066189000254934
