ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
MNKD,2024-06-30,2024-06-30,,,,
MNKD,2024-09-30,2024-09-30,0.04,70079000.0,-0.055019387784266835,0.7428188187616832
MNKD,2024-12-31,2024-12-31,0.03,76776000.0,-0.09416869671132765,0.7446597895175576
MNKD,2025-03-31,2025-03-31,0.04,78354000.0,-0.22447029922549389,0.7764504683870639
MNKD,2025-06-30,2025-06-30,0.0,76527000.0,-0.012136186911812797,0.7312321141557881
MNKD,2025-09-30,2025-09-30,0.03,82130000.0,-0.17922876638534746,0.7540119323024473
