ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
PCAR,2024-09-30,2024-09-30,,8239900000.0,0.052085342591997257,0.1917134916685882
PCAR,2024-12-31,2024-12-31,1.66,7907500000.0,0.04980893247805151,0.18598798608915587
PCAR,2025-03-31,2025-03-31,0.96,7441700000.0,0.028026700550990172,0.17720413346412783
PCAR,2025-06-30,2025-06-30,1.37,7510500000.0,0.03821017178212072,0.1699354237400972
PCAR,2025-09-30,2025-09-30,1.12,6671800000.0,0.030461675082349784,0.1617554483048053
PCAR,2025-12-31,2025-12-31,1.06,,,
