ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
XOM,2024-06-30,2024-06-30,,,,
XOM,2024-09-30,2024-09-30,,87792000000.0,0.0320560552808721,0.23227628941133588
XOM,2024-12-31,2024-12-31,1.72,81058000000.0,0.028858004209248972,0.21277356954279653
XOM,2025-03-31,2025-03-31,1.76,81058000000.0,0.029358252131546893,0.22804658392755806
XOM,2025-06-30,2025-06-30,1.64,79477000000.0,0.02696949271305785,0.22581375743925916
XOM,2025-09-30,2025-09-30,1.76,83331000000.0,0.028968264629012017,0.22601432840119523
XOM,2025-12-31,2025-12-31,1.53,,,
