ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
NRG,2024-06-30,2024-06-30,3.37,,,
NRG,2024-09-30,2024-09-30,-3.79,7223000000.0,-0.30436507936507934,-0.00221514606119341
NRG,2024-12-31,2024-12-31,,6819000000.0,0.2594834543987086,0.285672385980349
NRG,2025-03-31,2025-03-31,3.61,8585000000.0,0.2700756211739287,0.2357600465928946
NRG,2025-06-30,2025-06-30,-0.62,6740000000.0,-0.045454545454545456,0.16483679525222553
NRG,2025-09-30,2025-09-30,0.69,7635000000.0,0.07715736040609138,0.18258022265880813
