ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
RL,2024-09-30,2024-09-30,,,,
RL,2024-12-31,2024-12-31,4.66,2143500000.0,0.11712350346565847,0.6839748075577327
RL,2025-03-31,2025-03-31,2.03,1697300000.0,0.04983581224647479,0.6865610086608143
RL,2025-06-30,2025-06-30,3.52,1719100000.0,0.08762374269470838,0.722645570356582
RL,2025-09-30,2025-09-30,3.32,2010700000.0,0.08035783440477112,0.6795643308300592
RL,2025-12-31,2025-12-31,5.82,2406000000.0,0.1251904168397729,0.6989609310058188
