ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
ENVA,2024-06-30,2024-06-30,,,,
ENVA,2024-09-30,2024-09-30,,689924000.0,0.03683232190231044,0.46882555179990837
ENVA,2024-12-31,2024-12-31,2.3,729551000.0,0.05321557592629106,0.46062167004088816
ENVA,2025-03-31,2025-03-31,2.69,745541000.0,0.06095767350520202,0.4636069646069096
ENVA,2025-06-30,2025-06-30,2.86,764043000.0,0.061977528272786096,0.46944609138490895
ENVA,2025-09-30,2025-09-30,3.03,802678000.0,0.06256568056556372,0.46563254505542695
ENVA,2025-12-31,2025-12-31,3.0,,,
