ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
GEG,2024-06-30,2024-06-30,,,,
GEG,2024-09-30,2024-09-30,,,,
GEG,2024-12-31,2024-12-31,0.04,3507000.0,0.018866108383867552,-0.10721414314228686
GEG,2025-03-31,2025-03-31,-0.17,3209000.0,-0.07858178831670365,-0.2533499532564662
GEG,2025-06-30,2025-06-30,0.37,5608000.0,0.19302312352455986,0.1405135520684736
GEG,2025-09-30,2025-09-30,-0.24,10788000.0,-0.0952806917676398,-0.11095661846496106
GEG,2025-12-31,2025-12-31,-0.5,3011000.0,-0.28252214769914996,-0.6389903686482896
