ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
AMTM,2024-06-30,2024-06-30,,,,
AMTM,2024-12-31,2024-12-31,0.05,3416000000.0,0.002681564245810056,0.10567915690866511
AMTM,2025-03-31,2025-03-31,0.02,3491000000.0,0.0009035464196973119,0.10512747063878544
AMTM,2025-06-30,2025-06-30,0.04,3561000000.0,0.0022431583669807087,0.10334175793316484
AMTM,2025-09-30,2025-09-30,0.16,3925000000.0,0.008879023307436182,0.1062420382165605
AMTM,2025-12-31,2025-12-31,0.18,3237000000.0,0.009657594381035996,0.1007105344454742
