ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
CRK,2024-06-30,2024-06-30,,,,
CRK,2024-09-30,2024-09-30,,304472000.0,-0.012587184694094946,-0.17184503008486823
CRK,2024-12-31,2024-12-31,-0.19,366506000.0,-0.021076088911180294,0.02253441962750951
CRK,2025-03-31,2025-03-31,-0.4,512854000.0,-0.057166236860103976,0.27180835091468525
CRK,2025-06-30,2025-06-30,0.44,470262000.0,0.05564422851921599,0.21636024173758459
CRK,2025-09-30,2025-09-30,0.4,449852000.0,0.047082868696044174,0.1574073250758027
CRK,2025-12-31,2025-12-31,0.97,,,
