ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
QRVO,2024-06-30,2024-06-30,,,,
QRVO,2024-12-31,2024-12-31,0.43,916317000.0,0.012208791003992683,0.4271622156960964
QRVO,2025-03-31,2025-03-31,0.33,869474000.0,0.009245906626513128,0.421591674966704
QRVO,2025-06-30,2025-06-30,0.27,818778000.0,0.007446460923536885,0.4052404925388811
QRVO,2025-09-30,2025-09-30,1.28,1058503000.0,0.03407639473948879,0.4696141626429023
QRVO,2025-12-31,2025-12-31,1.75,992959000.0,0.044361367414504145,0.46748254459650396
