ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
TCX,2024-06-30,2024-06-30,-1.7,,,
TCX,2024-09-30,2024-09-30,-2.03,92297000.0,0.4201115423747975,0.24039784608383805
TCX,2024-12-31,2024-12-31,,93098000.0,0.445697796432319,0.2332488345614299
TCX,2025-03-31,2025-03-31,-1.37,94609000.0,0.13978514488402813,0.24871840945364607
TCX,2025-06-30,2025-06-30,-1.41,98463000.0,0.12850286803740776,0.22455135431583437
TCX,2025-09-30,2025-09-30,-2.08,98558000.0,0.1597886976863646,0.2453479169626007
