ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
VBIX,2024-06-30,2024-06-30,-7.64,,,
VBIX,2024-09-30,2024-09-30,-0.48,6281000.0,-0.06525105065251051,0.18086291991721062
VBIX,2024-12-31,2024-12-31,,3325000.0,-0.5695719979206376,0.16601503759398495
VBIX,2025-03-31,2025-03-31,-0.68,2733000.0,-0.5050950151473423,0.15001829491401392
VBIX,2025-06-30,2025-06-30,-1.61,2281000.0,-2.577492814503648,0.17580008768084174
VBIX,2025-09-30,2025-09-30,-0.32,2717000.0,-0.6108010801080108,0.21494295178505704
