ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
VLRS,2024-06-30,2024-06-30,,,,
VLRS,2024-09-30,2024-09-30,0.32,813000000.0,0.115625,0.1992619926199262
VLRS,2024-12-31,2024-12-31,0.39,834876000.0,0.124378791325967,0.17068163415884516
VLRS,2025-03-31,2025-03-31,-4.5,678000000.0,-0.1619047619047619,-0.008849557522123894
VLRS,2025-06-30,2025-06-30,-0.55,693000000.0,-0.24803149606299213,-0.011544011544011544
VLRS,2025-09-30,2025-09-30,0.05,784000000.0,0.022900763358778626,0.09821428571428571
