ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
CGNX,2024-06-30,2024-06-30,,,,
CGNX,2024-09-30,2024-09-30,0.17,,,
CGNX,2024-12-31,2024-12-31,0.16,229684000.0,0.01867934537283238,0.6872877518677836
CGNX,2025-03-31,2025-03-31,0.14,216036000.0,0.01632716023762683,0.6680506952544947
CGNX,2025-06-30,2025-06-30,0.24,249093000.0,0.02689871631684591,0.6739490872886833
CGNX,2025-09-30,2025-09-30,0.1,276892000.0,0.01185793039373377,0.6764009072129206
CGNX,2025-12-31,2025-12-31,,252338000.0,0.02189421416032297,0.6574673652006435
