ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
ODFL,2024-09-30,2024-09-30,,1470211000.0,0.07389827910741568,0.35041840933036145
ODFL,2024-12-31,2024-12-31,1.23,1385829000.0,0.06199518068655898,0.3364874021253704
ODFL,2025-03-31,2025-03-31,1.19,1374858000.0,0.06012763132171234,0.32736908102509493
ODFL,2025-06-30,2025-06-30,1.27,1407724000.0,0.06349549275273594,0.3366902887213687
ODFL,2025-09-30,2025-09-30,1.28,1406511000.0,0.06355490106483493,0.3404161076593073
ODFL,2025-12-31,2025-12-31,1.09,,,
