ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
MTW,2024-06-30,2024-06-30,,,,
MTW,2024-09-30,2024-09-30,,524800000.0,-0.01152073732718894,0.16692073170731708
MTW,2024-12-31,2024-12-31,1.59,596000000.0,0.08857990938915794,0.1597315436241611
MTW,2025-03-31,2025-03-31,-0.18,470900000.0,-0.009668508287292817,0.19069866213633468
MTW,2025-06-30,2025-06-30,0.04,539500000.0,0.002201673271686482,0.1835032437442076
MTW,2025-09-30,2025-09-30,0.14,553400000.0,0.007323861139592793,0.18539934947596676
MTW,2025-12-31,2025-12-31,0.19,,,
