ticker,report_date,disclosure_date,eps,revenue,roe,gross_margin
IBP,2024-06-30,2024-06-30,,,,
IBP,2024-09-30,2024-09-30,2.44,760600000.0,0.09575656058068119,0.33762818827241653
IBP,2024-12-31,2024-12-31,2.39,750200000.0,0.09485325393449597,0.33564382831245
IBP,2025-03-31,2025-03-31,1.64,684800000.0,0.06869420487214405,0.3266647196261682
IBP,2025-06-30,2025-06-30,2.52,760300000.0,0.1038374717832957,0.34183874786268575
IBP,2025-09-30,2025-09-30,2.74,778200000.0,0.10963748894783377,0.33950141351837576
