zscore,vwap_dist_bps,satellite_pct,cooldown,hold,max_tpd,avg_alpha,avg_sharpe,avg_trades,pct_pos,min_alpha,max_alpha
2.8000,35.0000,0.6000,6,4,12,0.2064,1.5397,75.0000,50.0000,-1.7939,2.6698
3.2000,35.0000,0.5000,10,6,8,0.2038,1.6854,61.0000,50.0000,-1.7111,2.5600
2.8000,80.0000,0.7000,14,8,6,0.2028,1.6621,43.7500,50.0000,-1.7751,2.4174
2.8000,55.0000,0.6000,14,8,6,0.2011,1.7733,55.2500,50.0000,-1.6830,2.4421
2.4000,35.0000,0.6000,6,4,12,0.2008,1.4325,79.2500,50.0000,-1.8412,2.7041
2.0000,35.0000,0.6000,10,6,8,0.2007,1.4960,74.5000,50.0000,-1.8326,2.6353
2.0000,35.0000,0.6000,6,4,12,0.2006,1.5495,88.5000,50.0000,-1.7967,2.5896
2.4000,35.0000,0.6000,14,8,6,0.1996,1.5552,61.2500,50.0000,-1.7690,2.6450
2.4000,80.0000,0.6000,10,6,8,0.1986,1.6200,48.0000,50.0000,-1.7601,2.5072
2.0000,80.0000,0.7000,14,8,6,0.1954,1.6345,49.7500,50.0000,-1.8035,2.3542
2.4000,55.0000,0.6000,10,6,8,0.1923,1.6062,62.2500,50.0000,-1.7606,2.4950
2.0000,80.0000,0.6000,10,6,8,0.1887,1.5932,50.7500,50.0000,-1.7793,2.4440
2.0000,55.0000,0.6000,10,6,8,0.1884,1.6145,68.5000,50.0000,-1.7834,2.4083
2.4000,80.0000,0.7000,14,8,6,0.1879,1.6258,46.0000,50.0000,-1.7807,2.3444
3.2000,80.0000,0.5000,6,4,12,0.1869,1.6474,46.0000,50.0000,-1.7071,2.4938
2.8000,80.0000,0.5000,6,4,12,0.1859,1.6106,49.2500,50.0000,-1.7368,2.4908
2.8000,35.0000,0.5000,10,6,8,0.1823,1.5097,65.5000,50.0000,-1.7542,2.6222
3.2000,80.0000,0.7000,14,8,6,0.1809,1.6326,40.0000,50.0000,-1.7554,2.3341
3.2000,80.0000,0.5000,10,6,8,0.1792,1.6085,42.2500,50.0000,-1.7071,2.4981
2.0000,55.0000,0.6000,14,8,6,0.1759,1.6033,62.7500,50.0000,-1.7553,2.3956
3.2000,35.0000,0.5000,14,8,6,0.1725,1.6012,54.2500,50.0000,-1.6793,2.5466
3.2000,55.0000,0.5000,6,4,12,0.1714,1.7034,59.5000,50.0000,-1.6678,2.3626
2.8000,80.0000,0.6000,14,8,6,0.1702,1.5774,43.0000,50.0000,-1.7515,2.3678
2.4000,55.0000,0.6000,14,8,6,0.1690,1.6103,57.2500,50.0000,-1.7277,2.3729
2.0000,55.0000,0.5000,6,4,12,0.1686,1.5157,75.5000,50.0000,-1.7771,2.4441
2.0000,80.0000,0.6000,14,8,6,0.1685,1.5679,48.5000,50.0000,-1.7803,2.3207
2.0000,80.0000,0.5000,6,4,12,0.1648,1.5639,57.2500,50.0000,-1.7625,2.3571
2.4000,55.0000,0.5000,6,4,12,0.1618,1.5008,68.5000,50.0000,-1.7586,2.4454
2.8000,55.0000,0.5000,6,4,12,0.1600,1.5436,64.0000,50.0000,-1.7178,2.4525
2.4000,80.0000,0.5000,6,4,12,0.1595,1.5448,52.7500,50.0000,-1.7433,2.3751
2.8000,80.0000,0.5000,10,6,8,0.1571,1.5122,45.0000,50.0000,-1.7304,2.4446
2.4000,80.0000,0.6000,14,8,6,0.1567,1.5409,45.2500,50.0000,-1.7576,2.3097
3.2000,80.0000,0.6000,14,8,6,0.1485,1.5482,39.2500,50.0000,-1.7317,2.2845
2.8000,35.0000,0.5000,14,8,6,0.1425,1.4273,56.7500,50.0000,-1.7188,2.5319
3.2000,55.0000,0.5000,10,6,8,0.1401,1.5935,55.2500,50.0000,-1.6619,2.3115
2.4000,35.0000,0.5000,10,6,8,0.1387,1.3120,67.5000,50.0000,-1.7899,2.5399
2.8000,55.0000,0.5000,10,6,8,0.1329,1.4854,60.2500,50.0000,-1.7055,2.3582
2.0000,35.0000,0.5000,10,6,8,0.1319,1.3167,73.0000,50.0000,-1.8185,2.4310
3.2000,35.0000,0.5000,6,4,12,0.1282,1.4743,67.2500,50.0000,-1.7170,2.3147
3.2000,55.0000,0.5000,14,8,6,0.1263,1.6278,50.0000,50.0000,-1.6330,2.2194
2.4000,80.0000,0.5000,10,6,8,0.1250,1.4085,48.2500,50.0000,-1.7370,2.3474
2.0000,80.0000,0.5000,10,6,8,0.1225,1.4146,50.7500,50.0000,-1.7561,2.2860
2.0000,35.0000,0.5000,14,8,6,0.1202,1.3408,66.7500,50.0000,-1.7623,2.4234
2.8000,55.0000,0.5000,14,8,6,0.1179,1.5210,53.5000,50.0000,-1.6726,2.2528
2.8000,80.0000,0.5000,14,8,6,0.1154,1.4111,42.2500,50.0000,-1.7279,2.2874
2.0000,35.0000,0.5000,6,4,12,0.1144,1.3081,84.0000,50.0000,-1.7826,2.3705
2.8000,35.0000,0.5000,6,4,12,0.1128,1.2822,71.5000,50.0000,-1.7665,2.4386
2.0000,55.0000,0.5000,10,6,8,0.1114,1.3890,66.7500,50.0000,-1.7648,2.2353
2.0000,80.0000,0.5000,14,8,6,0.1087,1.3869,48.7500,50.0000,-1.7572,2.2219
2.4000,55.0000,0.5000,10,6,8,0.1033,1.3358,62.5000,50.0000,-1.7463,2.2917
3.2000,80.0000,0.5000,14,8,6,0.1031,1.4046,38.7500,50.0000,-1.7081,2.2406
2.4000,35.0000,0.5000,14,8,6,0.1024,1.2489,59.0000,50.0000,-1.7545,2.4447
2.0000,55.0000,0.5000,14,8,6,0.0997,1.3850,61.2500,50.0000,-1.7360,2.2215
2.8000,80.0000,0.4000,6,4,12,0.0945,1.3120,43.5000,50.0000,-1.7482,2.2602
3.2000,80.0000,0.4000,6,4,12,0.0925,1.3264,42.2500,50.0000,-1.7210,2.2734
3.2000,55.0000,0.4000,6,4,12,0.0924,1.3862,53.5000,50.0000,-1.6951,2.2360
3.2000,35.0000,0.4000,10,6,8,0.0910,1.2649,56.7500,50.0000,-1.7377,2.3451
2.4000,35.0000,0.5000,6,4,12,0.0890,1.1253,75.0000,50.0000,-1.8274,2.3918
2.4000,80.0000,0.5000,14,8,6,0.0877,1.3222,44.5000,50.0000,-1.7344,2.2030
2.0000,55.0000,0.4000,6,4,12,0.0839,1.2746,67.2500,50.0000,-1.7643,2.2246
2.4000,55.0000,0.5000,14,8,6,0.0817,1.3452,55.0000,50.0000,-1.7133,2.1838
2.0000,55.0000,0.4000,10,6,8,0.0814,1.2799,62.5000,50.0000,-1.7522,2.2205
2.0000,80.0000,0.4000,10,6,8,0.0798,1.2823,46.0000,50.0000,-1.7577,2.1857
2.8000,35.0000,0.4000,10,6,8,0.0798,1.1284,60.5000,50.0000,-1.7735,2.4353
3.2000,80.0000,0.4000,10,6,8,0.0796,1.2668,39.7500,50.0000,-1.7210,2.2736
2.8000,55.0000,0.4000,6,4,12,0.0785,1.2402,57.0000,50.0000,-1.7363,2.3036
2.8000,55.0000,0.4000,10,6,8,0.0768,1.2402,55.0000,50.0000,-1.7242,2.3124
3.2000,35.0000,0.4000,14,8,6,0.0743,1.1937,52.0000,50.0000,-1.7337,2.3498
2.4000,80.0000,0.4000,6,4,12,0.0733,1.2792,46.2500,50.0000,-1.7479,2.1473
2.8000,80.0000,0.4000,10,6,8,0.0728,1.2209,40.7500,50.0000,-1.7420,2.2604
2.4000,55.0000,0.4000,6,4,12,0.0707,1.2109,60.2500,50.0000,-1.7598,2.2328
2.8000,80.0000,0.4000,14,8,6,0.0706,1.2111,39.0000,50.0000,-1.7396,2.2643
3.2000,55.0000,0.4000,10,6,8,0.0698,1.3017,51.0000,50.0000,-1.6892,2.2117
3.2000,80.0000,0.4000,14,8,6,0.0641,1.2078,37.5000,50.0000,-1.7220,2.2525
2.0000,35.0000,0.4000,14,8,6,0.0629,1.1515,62.2500,50.0000,-1.7616,2.2877
2.8000,35.0000,0.4000,14,8,6,0.0614,1.0729,54.7500,50.0000,-1.7661,2.4002
2.0000,80.0000,0.4000,14,8,6,0.0575,1.2215,43.2500,50.0000,-1.7587,2.1078
2.4000,80.0000,0.4000,10,6,8,0.0568,1.2003,43.5000,50.0000,-1.7417,2.1656
2.4000,55.0000,0.4000,10,6,8,0.0551,1.1640,56.7500,50.0000,-1.7476,2.2123
2.8000,55.0000,0.4000,14,8,6,0.0536,1.2143,51.7500,50.0000,-1.7167,2.1782
2.4000,80.0000,0.4000,14,8,6,0.0510,1.1785,40.7500,50.0000,-1.7393,2.1622
2.4000,35.0000,0.4000,10,6,8,0.0488,1.0084,62.0000,50.0000,-1.8016,2.3297
3.2000,55.0000,0.4000,14,8,6,0.0468,1.2468,48.5000,50.0000,-1.6851,2.1328
2.0000,55.0000,0.4000,14,8,6,0.0462,1.1907,57.5000,50.0000,-1.7502,2.1017
2.0000,35.0000,0.4000,6,4,12,0.0437,1.1767,75.7500,50.0000,-1.7271,2.1554
3.2000,35.0000,0.4000,6,4,12,0.0367,1.1181,60.7500,50.0000,-1.7437,2.1591
2.4000,55.0000,0.4000,14,8,6,0.0351,1.1348,53.0000,50.0000,-1.7402,2.1185
2.4000,35.0000,0.4000,14,8,6,0.0304,0.9479,56.5000,50.0000,-1.7942,2.3083
