zscore,vwap_dist_bps,satellite_pct,cooldown_bars,hold_bars,max_trades_day,avg_alpha_pct,avg_sharpe,avg_trades,avg_max_dd,min_alpha,max_alpha,pct_positive_alpha
2.4000,100.0000,0.7000,10,6,8,-0.9666,2.6600,39.8000,1.1164,-5.6382,2.3543,40.0000
3.2000,80.0000,0.6000,10,6,8,-0.9674,2.3399,41.0000,1.0942,-5.8494,2.6506,40.0000
2.4000,35.0000,0.6000,10,6,8,-0.9682,2.3086,64.6000,1.1045,-5.7403,2.7730,40.0000
2.8000,55.0000,0.6000,6,4,12,-0.9725,2.4041,62.0000,1.0768,-5.7964,2.5542,40.0000
2.8000,100.0000,0.7000,6,4,12,-0.9728,2.4603,38.6000,1.1241,-5.7876,2.4815,40.0000
2.4000,55.0000,0.7000,14,8,6,-0.9733,2.4942,55.6000,1.0827,-5.7063,2.4572,40.0000
2.4000,100.0000,0.7000,14,8,6,-0.9761,2.6048,39.0000,1.1185,-5.6720,2.3299,40.0000
2.8000,35.0000,0.6000,14,8,6,-0.9761,2.2906,55.4000,1.0776,-5.8153,2.7299,40.0000
2.0000,55.0000,0.7000,14,8,6,-0.9765,2.4298,61.0000,1.0893,-5.7177,2.4697,40.0000
2.0000,100.0000,0.7000,10,6,8,-0.9819,2.5599,41.6000,1.1148,-5.6447,2.3559,40.0000
2.0000,35.0000,0.6000,10,6,8,-0.9868,2.2633,71.4000,1.1143,-5.7368,2.6353,40.0000
2.0000,35.0000,0.6000,14,8,6,-0.9888,2.2726,64.8000,1.0972,-5.7803,2.6321,40.0000
2.8000,80.0000,0.6000,10,6,8,-0.9897,2.2336,42.8000,1.0992,-5.8601,2.6005,40.0000
2.0000,80.0000,0.7000,14,8,6,-0.9901,2.3828,50.6000,1.1067,-5.7320,2.3542,40.0000
2.4000,80.0000,0.6000,10,6,8,-0.9905,2.3550,47.4000,1.1088,-5.7470,2.5072,40.0000
3.2000,55.0000,0.6000,14,8,6,-0.9931,2.5013,49.4000,1.0760,-5.7947,2.3399,40.0000
2.4000,35.0000,0.6000,6,4,12,-0.9932,2.1644,73.8000,1.1107,-5.7690,2.7041,40.0000
2.0000,100.0000,0.7000,14,8,6,-0.9949,2.4741,40.8000,1.1199,-5.6975,2.3276,40.0000
3.2000,100.0000,0.7000,14,8,6,-0.9952,2.4934,34.2000,1.0947,-5.7556,2.2781,40.0000
2.4000,35.0000,0.6000,14,8,6,-0.9954,2.2506,58.6000,1.0918,-5.7753,2.6450,40.0000
2.8000,100.0000,0.7000,14,8,6,-0.9957,2.4157,35.8000,1.1060,-5.7853,2.3604,40.0000
2.4000,100.0000,0.6000,10,6,8,-0.9959,2.5082,38.6000,1.1077,-5.6772,2.3723,40.0000
2.4000,80.0000,0.7000,14,8,6,-0.9968,2.3780,46.4000,1.1075,-5.7357,2.3444,40.0000
2.8000,35.0000,0.6000,6,4,12,-0.9973,2.1745,69.2000,1.0994,-5.8122,2.6698,40.0000
2.0000,35.0000,0.6000,6,4,12,-0.9987,2.2118,82.8000,1.1147,-5.7958,2.5896,40.0000
2.8000,55.0000,0.6000,14,8,6,-0.9991,2.3812,52.6000,1.0648,-5.8000,2.4421,40.0000
2.8000,80.0000,0.7000,14,8,6,-0.9995,2.2817,43.0000,1.0958,-5.8086,2.4174,40.0000
2.0000,80.0000,0.6000,10,6,8,-1.0023,2.2931,49.8000,1.1178,-5.7664,2.4440,40.0000
2.4000,55.0000,0.6000,10,6,8,-1.0034,2.2766,59.8000,1.0955,-5.7861,2.4950,40.0000
3.2000,100.0000,0.7000,10,6,8,-1.0047,2.4702,34.8000,1.1064,-5.7574,2.2288,40.0000
3.2000,35.0000,0.5000,10,6,8,-1.0047,2.2559,56.2000,1.0859,-5.8384,2.5600,40.0000
2.8000,100.0000,0.7000,10,6,8,-1.0056,2.3876,35.8000,1.1178,-5.7876,2.3111,40.0000
3.2000,80.0000,0.7000,14,8,6,-1.0076,2.3334,39.4000,1.0935,-5.7616,2.3341,40.0000
2.0000,55.0000,0.6000,10,6,8,-1.0080,2.2661,66.0000,1.1077,-5.7937,2.4083,40.0000
2.4000,100.0000,0.6000,14,8,6,-1.0091,2.4420,37.8000,1.1094,-5.7100,2.3360,40.0000
2.0000,100.0000,0.6000,10,6,8,-1.0132,2.3872,40.0000,1.1107,-5.7003,2.3740,40.0000
2.4000,100.0000,0.6000,6,4,12,-1.0137,2.4317,40.4000,1.1231,-5.7059,2.3174,40.0000
3.2000,80.0000,0.5000,6,4,12,-1.0236,2.1813,43.0000,1.0909,-5.8652,2.4938,40.0000
3.2000,55.0000,0.5000,6,4,12,-1.0248,2.3182,55.0000,1.0654,-5.8097,2.3626,40.0000
2.8000,35.0000,0.5000,10,6,8,-1.0267,2.0747,60.6000,1.0899,-5.8629,2.6222,40.0000
2.0000,55.0000,0.6000,14,8,6,-1.0274,2.1794,60.6000,1.0967,-5.8407,2.3956,40.0000
2.0000,80.0000,0.6000,14,8,6,-1.0274,2.1983,47.4000,1.1068,-5.8110,2.3207,40.0000
2.0000,100.0000,0.6000,14,8,6,-1.0287,2.3014,39.2000,1.1141,-5.7449,2.3337,40.0000
2.4000,55.0000,0.6000,14,8,6,-1.0290,2.2218,55.2000,1.0894,-5.8209,2.3729,40.0000
