timestamp,action,price,exec_price,qty,gross_notional,commission,realized_pnl_approx,zscore,regime,reason,satellite_before,satellite_after,working_after
2026-01-30 10:34:00-05:00,BUY,242.21,242.24633150000003,72,17441.735868000003,1.0,-1.0,-3.9822153537283893,RANGE,zscore_downside_entry,0,72,231
2026-01-30 15:56:00-05:00,SELL,233.19,233.1550215,72,16787.161548,1.0,-655.5743200000015,-8.86444396526299,RANGE,eod_force_flatten,72,0,159
2026-02-02 10:12:00-05:00,SELL,242.29,242.2536565,56,13566.204764,1.0,-1.0,2.5334304811943618,RANGE,zscore_upside_sell,0,-56,103
2026-02-02 10:58:00-05:00,BUY,238.37,238.40575550000003,56,13350.722308000002,1.0,214.48245599999882,-1.1753104857168133,RANGE,mean_reversion_buyback_short,-56,0,159
2026-02-03 10:02:00-05:00,BUY,235.57,235.60533550000002,57,13429.5041235,1.0,-1.0,-2.791130467665316,RANGE,zscore_downside_entry,0,57,216
2026-02-03 15:56:00-05:00,SELL,230.08,230.045488,57,13112.592816,1.0,-317.91130750000104,-2.7262959294934235,RANGE,eod_force_flatten,57,0,159
2026-02-04 10:20:00-05:00,BUY,220.7,220.73310500000002,72,15892.783560000002,1.0,-1.0,-4.288877970765838,RANGE,zscore_downside_entry,0,72,231
2026-02-04 15:56:00-05:00,SELL,208.99,208.9586515,72,15045.022908,1.0,-848.7606520000015,-6.693515314644764,RANGE,eod_force_flatten,72,0,159
2026-02-05 11:26:00-05:00,SELL,213.02,212.98804700000002,57,12140.318679000002,1.0,-1.0,2.8134689212451334,RANGE,zscore_upside_sell,0,-57,102
2026-02-05 15:56:00-05:00,BUY,213.41,213.4420115,57,12166.1946555,1.0,-26.87597649999907,6.314600886219893,RANGE,eod_force_flatten,-57,0,159
2026-02-06 10:30:00-05:00,SELL,226.91,226.8759635,71,16108.193408500001,1.0,-1.0,3.736538316250455,RANGE,zscore_upside_sell,0,-71,88
2026-02-06 15:56:00-05:00,BUY,231.09,231.12466350000003,71,16409.851108500003,1.0,-302.657700000001,12.488522539054166,RANGE,eod_force_flatten,-71,0,159
2026-02-09 10:20:00-05:00,SELL,228.67,228.6356995,56,12803.599171999998,1.0,-1.0,2.695614849107155,RANGE,zscore_upside_sell,0,-56,103
2026-02-09 15:56:00-05:00,BUY,229.37,229.40440550000002,56,12846.646708000002,1.0,-44.04753600000208,1.1486423217370128,RANGE,eod_force_flatten,-56,0,159
2026-02-10 12:46:00-05:00,SELL,227.59,227.55586150000002,34,7736.899291000001,1.0,-1.0,5.181337031360928,RANGE,zscore_upside_sell,0,-34,125
2026-02-10 15:56:00-05:00,BUY,226.51,226.5439765,34,7702.495201000001,1.0,33.404090000000224,3.358353409630298,RANGE,eod_force_flatten,-34,0,159
2026-02-11 10:30:00-05:00,BUY,230.81,230.84462150000002,56,12927.298804000002,1.0,-1.0,-2.635024202742358,RANGE,zscore_downside_entry,0,56,215
2026-02-11 12:24:00-05:00,SELL,236.44,236.404534,56,13238.653904,1.0,310.35509999999977,1.316557457029537,RANGE,mean_reversion_exit_long,56,0,159
2026-02-12 11:12:00-05:00,BUY,234.26,234.295139,56,13120.527784,1.0,-1.0,-2.927272355706945,RANGE,zscore_downside_entry,0,56,215
2026-02-12 13:44:00-05:00,SELL,235.0,234.96475,56,13158.026,1.0,36.498216000000184,0.5347225520663511,RANGE,mean_reversion_exit_long,56,0,159
2026-02-13 11:50:00-05:00,BUY,236.69,236.72550350000003,38,8995.569133,1.0,-1.0,-3.9643537913470097,RANGE,zscore_downside_entry,0,38,197
2026-02-13 14:34:00-05:00,SELL,238.5,238.464225,38,9061.64055,1.0,65.0714169999988,1.2480336057029071,RANGE,mean_reversion_exit_long,38,0,159
2026-02-17 10:48:00-05:00,SELL,234.78,234.744783,56,13145.707848,1.0,-1.0,2.9477632604244426,RANGE,zscore_upside_sell,0,-56,103
2026-02-17 15:56:00-05:00,BUY,235.42,235.45531300000002,56,13185.497528000002,1.0,-40.78968000000032,0.9773320505045935,RANGE,eod_force_flatten,-56,0,159
2026-02-18 10:42:00-05:00,SELL,240.35,240.3139475,71,17062.290272500002,1.0,-1.0,4.645089782509073,RANGE,zscore_upside_sell,0,-71,88
2026-02-18 13:30:00-05:00,BUY,240.2,240.23603,71,17056.75813,1.0,4.532142500000873,-0.6912688246301769,RANGE,mean_reversion_buyback_short,-71,0,159
2026-02-19 11:16:00-05:00,SELL,235.63,235.5946555,49,11544.1381195,1.0,-1.0,2.7947923249118345,RANGE,zscore_upside_sell,0,-49,110
2026-02-19 11:48:00-05:00,BUY,233.71,233.74505650000003,49,11453.507768500001,1.0,89.6303509999978,-0.8380714850625155,RANGE,mean_reversion_buyback_short,-49,0,159
