timestamp,action,price,exec_price,qty,gross_notional,commission,realized_pnl_approx,zscore,regime,reason,satellite_before,satellite_after,working_after
2026-02-19 09:54:00-05:00,SELL,25.69499969482422,25.691145444869996,196,5035.464507194519,0.5035464507194519,-0.5035464507194519,2.411473218747739,RANGE,zscore_upside_sell,0,-196,1392
2026-02-19 10:28:00-05:00,BUY,25.530000686645508,25.533830186748506,196,5004.630716602707,0.5004630716602707,30.333327520151606,-0.6836340525939083,RANGE,mean_reversion_buyback_short,-196,0,1588
2026-02-19 12:40:00-05:00,BUY,25.42620086669922,25.430014796829226,98,2492.1414500892643,0.24921414500892644,-0.24921414500892644,-2.2019918027685113,RANGE,zscore_downside_entry,0,98,1686
2026-02-19 13:02:00-05:00,BUY,25.420000076293945,25.423813076305393,98,2491.5336814779284,0.24915336814779285,-0.24915336814779285,-2.7882199334777553,RANGE,zscore_downside_entry,98,196,1784
2026-02-19 13:10:00-05:00,BUY,25.405000686645508,25.408811436748508,98,2490.0635208013537,0.24900635208013538,-0.24900635208013538,-7.071468421426279,RANGE,zscore_downside_entry,196,294,1882
2026-02-19 13:18:00-05:00,BUY,25.309999465942383,25.313795965862276,98,2480.7520046545033,0.24807520046545034,-0.24807520046545034,-8.295500323495611,RANGE,zscore_downside_entry,294,392,1980
2026-02-19 13:26:00-05:00,BUY,25.270000457763672,25.27379095783234,98,2476.8315138675694,0.24768315138675695,-0.24768315138675695,-4.696475632511412,RANGE,zscore_downside_entry,392,490,2078
2026-02-19 13:34:00-05:00,BUY,25.260000228881836,25.26378922891617,197,4976.966478096486,0.4976966478096486,-0.4976966478096486,-3.346012912847249,RANGE,zscore_downside_entry,490,687,2275
2026-02-19 13:56:00-05:00,BUY,25.329999923706055,25.333799423694614,107,2710.7165383353235,0.2710716538335324,-0.2710716538335324,-2.364432644262373,RANGE,zscore_downside_entry,687,794,2382
2026-02-19 15:56:00-05:00,SELL,25.19499969482422,25.191220444869995,794,20001.829033226775,2.0001829033226777,-119.17633699897698,-5.038960329896506,RANGE,eod_force_flatten,794,0,1588
2026-02-20 09:54:00-05:00,SELL,25.399999618530273,25.396189618587496,196,4977.6531652431495,0.497765316524315,-0.497765316524315,3.1652905633345307,RANGE,zscore_upside_sell,0,-196,1392
2026-02-20 10:02:00-05:00,SELL,25.960899353027344,25.95700521812439,195,5061.616017534256,0.5061616017534256,-0.5061616017534256,4.116178774555065,RANGE,zscore_upside_sell,-196,-391,1197
