symbol,total_return,buy_hold_return,alpha_pct,sharpe,max_dd,trade_count,win_rate,profit_factor,avg_trades_per_day,final_equity,n_days,total_commission
KLAC,-2.6799472487539777,-2.0521327503083997,-0.627814498445578,-0.6034075249372901,16.656704418252655,54,33.33333333333333,0.6796469245636994,2.7,48660.02637562301,20,54.0
AMD,-14.484694710393885,-17.211859542034556,2.727164831640671,-3.0669612128124197,20.34054620644474,46,30.434782608695656,0.7872415741976002,2.3,42757.652644803056,20,46.0
ASML,2.2697623629999386,0.6514499791868911,1.6183123838130475,1.0884009533993686,8.788242952704985,50,34.0,2.2266048552450513,2.5,51134.88118149997,20,50.0
AMAT,6.979627897813301,11.396082892811066,-4.416454994997765,1.7865033151777912,15.978355881275464,46,26.08695652173913,0.5853174266275304,2.3,53489.81394890665,20,46.0
LRCX,-6.636113049000036,-5.713709677419354,-0.9224033715806819,-1.5017699101723643,18.150954546345247,44,29.545454545454547,0.5632971846716652,2.2,46681.94347549998,20,44.0
MU,-5.566428657920941,-8.626460092648003,3.060031434727062,-0.769471069747189,18.676277564932608,52,34.61538461538461,1.3767183436849522,2.6,47216.78567103953,20,52.0
PLTR,-4.690818011603648,-8.269817680259939,3.578999668656291,-0.7502223212543135,19.185745290901504,56,33.92857142857143,1.600595707652355,2.8,47654.59099419817,20,56.0
QS,-20.487794376000036,-28.02083333333333,7.533038957333293,-4.139456322891956,24.112866594504933,56,39.285714285714285,1.6460861307035488,2.8,39756.10281199998,20,372.96000000000004
