symbol,price,total_score,grade,vwap_crossing_score,vwap_deviation_score,mean_reversion_score,range_fitness_score,trend_range_ratio_score,liquidity_score,avg_range_pct,period_return_pct,adv_millions,reversion_rate_pct,n_days
NNE,26.6200008392334,58.8,C,20.0,14.7,13.5,3.1,6.0,1.4,6.46,10.46,75.0,19.5,7
TMDX,145.2899932861328,58.8,C,17.3,15.0,10.7,3.8,8.0,4.0,6.34,8.38,248.0,17.1,7
BITF,2.2149999141693115,58.7,C,20.0,15.0,12.5,1.6,6.4,3.1,6.71,10.47,141.0,18.7,7
BKR,65.25,58.6,C,17.7,15.0,7.6,7.4,2.4,8.4,2.24,4.84,410.0,14.5,7
SWKS,59.59000015258789,58.6,C,11.6,15.0,0.3,18.8,10.1,2.9,3.72,-3.79,117.0,8.2,7
BX,113.4000015258789,58.6,C,16.2,15.0,3.4,14.7,0.0,9.3,4.42,-11.52,1186.0,10.9,7
PH,1009.0349731445312,58.5,C,13.1,15.0,0.4,6.4,14.1,9.5,2.14,0.93,454.0,8.3,7
VLO,204.63999938964844,58.1,C,8.6,15.0,0.0,15.1,11.8,7.7,3.01,2.33,348.0,7.3,7
COP,113.45500183105469,58.0,C,8.6,15.0,2.7,8.8,13.5,9.4,2.38,1.24,553.0,10.3,7
CVX,186.75,57.9,C,16.2,15.0,0.0,2.1,15.0,9.6,1.71,0.47,1175.0,8.0,7
COST,1011.1900024414062,57.9,C,20.0,15.0,2.6,1.9,9.6,8.8,1.69,1.84,5226.0,10.2,7
GS,860.1799926757812,57.8,C,9.7,15.0,0.7,19.7,3.7,9.0,3.47,-6.81,1831.0,8.6,7
HII,444.7099914550781,57.8,C,7.8,15.0,4.1,17.4,9.5,4.0,3.96,4.35,182.0,11.5,7
SYK,387.489990234375,57.7,C,20.0,15.0,2.0,5.4,6.7,8.6,2.04,3.09,408.0,9.7,7
MA,517.010009765625,57.6,C,9.5,15.0,0.0,10.6,13.1,9.4,2.56,-1.48,1828.0,6.0,7
RBLX,68.66999816894531,57.5,C,14.9,15.0,2.3,9.7,6.1,9.6,5.31,8.52,622.0,10.0,7
WDAY,133.75999450683594,57.2,C,13.3,14.7,3.2,6.5,11.3,8.3,5.87,-4.99,1984.0,10.8,7
JNJ,248.4499969482422,57.2,C,17.0,15.0,1.2,2.2,12.4,9.4,1.72,1.16,1612.0,9.0,7
RUN,13.25,57.2,C,20.0,15.0,14.2,0.0,0.0,8.0,11.52,-33.05,681.0,20.1,7
STEM,10.5600004196167,57.2,C,11.8,12.3,20.0,0.9,12.2,0.0,6.85,-4.86,1.0,25.4,7
BDX,176.4600067138672,57.1,C,16.8,15.0,0.0,8.8,7.5,9.1,2.38,-3.34,421.0,5.9,7
UPST,27.239999771118164,56.9,C,17.7,15.0,8.8,7.0,2.9,5.4,5.77,-11.93,251.0,15.5,7
ITW,290.5799865722656,56.8,C,18.9,15.0,2.8,2.8,10.1,7.3,1.78,-1.83,332.0,10.4,7
EQR,63.21500015258789,56.7,C,17.9,15.0,1.7,4.3,15.0,2.8,1.93,0.01,113.0,9.5,7
PFE,27.6299991607666,56.6,C,12.8,15.0,0.8,4.7,13.8,9.6,1.97,0.93,785.0,8.6,7
USB,54.6349983215332,56.5,C,13.5,15.0,0.0,15.7,3.5,8.7,3.07,-6.11,406.0,7.6,7
CMG,37.209999084472656,56.5,C,9.9,15.0,2.5,11.8,8.0,9.3,2.68,-3.55,428.0,10.1,7
CLSK,9.96500015258789,56.4,C,17.5,15.0,9.5,0.0,7.6,6.7,7.34,10.13,333.0,16.1,7
