symbol,price,total_score,grade,vwap_crossing_score,vwap_deviation_score,mean_reversion_score,range_fitness_score,trend_range_ratio_score,liquidity_score,avg_range_pct,period_return_pct,adv_millions,reversion_rate_pct,n_days
CAT,742.8599853515625,76.8,A,17.9,15.0,4.6,14.9,14.8,9.6,2.99,-0.97,1671.0,11.9,7
NOW,108.0199966430664,76.8,A,13.7,15.0,5.2,18.4,15.0,9.5,3.78,0.67,1721.0,12.4,7
LPLA,300.3900146484375,76.1,A,19.6,15.0,15.0,15.7,1.7,9.1,4.25,-9.56,494.0,20.7,7
GME,24.048900604248047,76.0,A,20.0,15.0,12.6,12.3,13.4,2.7,2.73,1.47,103.0,18.7,7
FIS,50.95000076293945,75.9,A,20.0,15.0,12.1,18.5,5.7,4.6,3.35,5.57,206.0,18.3,7
LCID,10.020000457763672,75.7,A,20.0,15.0,15.9,8.1,12.8,4.0,5.58,3.51,223.0,21.5,7
VEEV,181.97000122070312,75.4,A,11.6,15.0,7.2,19.7,15.0,6.9,3.55,0.58,306.0,14.1,7
SWK,86.48500061035156,75.4,A,15.8,15.0,11.1,18.6,12.2,2.8,3.75,-2.67,132.0,17.4,7
ARQQ,16.389999389648438,75.3,A,20.0,15.0,20.0,7.2,13.1,0.0,5.74,3.34,6.0,40.4,7
SBAC,201.14999389648438,75.3,A,20.0,15.0,14.8,8.8,13.0,3.7,2.38,1.41,194.0,20.6,7
ON,66.51000213623047,75.2,A,20.0,15.0,4.2,19.0,8.6,8.3,3.67,-4.54,400.0,11.5,7
AFRM,46.959999084472656,75.1,A,20.0,15.0,11.2,9.8,10.0,9.1,5.29,-5.49,520.0,17.5,7
PCTY,106.54000091552734,74.9,B,20.0,15.0,10.6,14.0,13.6,1.6,4.54,-2.31,71.0,17.0,7
PANW,148.8699951171875,74.9,B,13.3,15.0,7.7,15.3,15.0,8.6,4.32,-0.84,5051.0,14.5,7
BSX,76.83999633789062,74.9,B,20.0,15.0,9.8,5.3,15.0,9.8,2.03,0.42,747.0,16.3,7
REGN,781.239990234375,74.8,B,16.4,15.0,9.6,10.7,14.3,8.8,2.57,-1.04,775.0,16.1,7
MSTR,129.72000122070312,74.8,B,20.0,15.0,13.3,8.4,9.2,8.9,5.52,6.32,6598.0,19.3,7
IBIT,37.19499969482422,74.7,B,15.0,15.0,5.7,14.9,15.0,9.1,2.99,-0.52,14957.0,12.8,7
LAES,3.940000057220459,74.6,B,20.0,15.0,14.4,11.1,14.1,0.0,5.05,2.2,34.0,20.2,7
ALAB,118.75,74.6,B,20.0,15.0,13.9,12.5,4.6,8.6,4.82,-8.83,1052.0,19.9,7
BLK,1063.77001953125,74.5,B,11.8,15.0,3.7,19.4,15.0,9.6,3.61,-0.77,612.0,11.1,7
AMC,1.1500999927520752,74.5,B,20.0,15.0,20.0,12.8,6.7,0.0,4.76,-7.25,29.0,31.9,7
C,110.19000244140625,74.5,B,19.4,15.0,3.3,19.0,8.5,9.3,3.4,-4.27,1382.0,10.8,7
ZTS,131.1199951171875,73.9,B,20.0,15.0,4.2,13.4,12.7,8.5,2.84,1.8,395.0,11.6,7
ULTA,684.9600219726562,73.9,B,17.7,15.0,7.4,9.8,15.0,9.0,2.48,0.58,450.0,14.3,7
BMRN,61.70000076293945,73.8,B,20.0,15.0,6.2,13.2,15.0,4.3,4.69,0.48,241.0,13.3,7
DLTR,126.4800033569336,73.5,B,20.0,15.0,3.2,19.3,9.1,6.8,3.43,-3.98,330.0,10.8,7
MSFT,392.67999267578125,73.4,B,20.0,15.0,12.0,6.5,11.3,8.7,2.15,-1.81,81767.0,18.2,7
ROK,407.3399963378906,73.1,B,20.0,15.0,7.3,13.3,10.3,7.3,2.83,2.81,349.0,14.2,7
DKNG,23.861000061035156,73.1,B,14.1,15.0,8.4,16.4,9.6,9.6,4.12,4.49,560.0,15.1,7
OKLO,62.93000030517578,72.9,B,19.2,15.0,11.6,3.9,14.7,8.5,6.32,-2.21,390.0,17.9,7
GPN,76.46499633789062,72.7,B,20.0,15.0,9.8,14.9,6.5,6.5,2.99,-4.62,291.0,16.4,7
SPCE,2.558000087738037,72.7,B,20.0,15.0,13.7,12.6,11.4,0.0,4.8,3.98,4.0,19.6,7
WMT,127.91000366210938,72.5,B,18.5,15.0,4.8,11.7,13.6,8.8,2.67,-1.34,9301.0,12.1,7
DECK,117.29000091552734,72.3,B,17.5,15.0,5.6,14.7,15.0,4.6,2.97,-0.79,205.0,12.7,7
RKLB,69.0999984741211,72.2,B,18.9,15.0,15.1,3.3,11.1,8.8,6.43,-5.6,3496.0,20.9,7
CMI,583.8099975585938,72.1,B,20.0,15.0,7.6,8.1,12.6,8.9,2.31,-1.52,412.0,14.4,7
SCHW,95.15499877929688,72.1,B,20.0,15.0,3.3,9.9,14.3,9.6,2.49,1.0,779.0,10.8,7
DQ,24.110000610351562,72.0,B,16.0,15.0,14.5,11.5,15.0,0.0,4.99,1.07,13.0,20.4,7
FISV,62.29999923706055,71.9,B,13.9,15.0,1.1,17.9,14.9,9.1,3.87,-1.2,482.0,8.9,7
NKE,62.18000030517578,71.7,B,15.6,15.0,5.1,18.8,8.1,9.0,3.38,-4.42,876.0,12.4,7
FDX,387.1000061035156,71.6,B,20.0,15.0,9.5,5.7,12.1,9.4,2.07,1.5,448.0,16.0,7
ALNY,332.760009765625,71.5,B,11.8,15.0,6.1,16.6,15.0,7.0,3.16,0.16,354.0,13.2,7
CRS,398.25,71.4,B,12.6,15.0,14.8,19.8,4.5,4.7,3.48,6.42,214.0,20.6,7
GEV,873.9199829101562,71.3,B,19.8,15.0,4.9,19.6,2.6,9.5,3.58,7.59,1493.0,12.2,7
JOBY,10.055000305175781,71.1,B,20.0,15.0,8.3,9.2,13.6,4.9,5.38,2.71,237.0,15.1,7
DUOL,101.05999755859375,71.0,B,20.0,15.0,14.7,8.4,4.9,8.0,5.54,-9.83,1979.0,20.5,7
BTBT,1.659999966621399,70.9,B,20.0,15.0,20.0,4.0,11.9,0.0,6.31,4.73,39.0,27.1,7
TTWO,211.4199981689453,70.9,B,20.0,15.0,7.0,15.8,4.1,9.0,3.08,5.86,797.0,14.0,7
HD,380.6700134277344,70.9,B,17.5,15.0,3.2,10.8,15.0,9.4,2.58,-0.16,1245.0,10.7,7
QCOM,142.30999755859375,70.8,B,20.0,15.0,4.9,7.0,15.0,8.9,2.2,0.24,2999.0,12.2,7
QUBT,8.40999984741211,70.5,B,20.0,15.0,16.5,4.0,11.5,3.4,6.3,5.12,198.0,22.1,7
KHC,24.610000610351562,70.5,B,20.0,15.0,9.3,7.2,9.9,9.2,2.22,2.33,502.0,15.9,7
DLR,177.1999969482422,70.3,B,20.0,15.0,12.4,3.1,15.0,4.8,1.81,0.17,208.0,18.5,7
PATH,10.75,70.1,B,18.3,15.0,8.4,6.9,13.9,7.7,5.8,-2.71,373.0,15.1,7
RGTI,17.475000381469727,70.0,B,20.0,15.0,20.0,0.6,5.9,8.5,6.89,11.31,1516.0,26.3,7
NXPI,227.02000427246094,70.0,B,18.7,15.0,3.1,15.7,8.3,9.2,3.07,-3.92,435.0,10.6,7
RIOT,16.309999465942383,69.8,B,20.0,14.4,14.5,1.3,10.0,9.5,6.77,6.95,484.0,20.3,7
SLB,51.345001220703125,69.8,B,17.0,15.0,3.0,10.1,15.0,9.8,2.51,-0.71,509.0,10.5,7
DG,156.2550048828125,69.8,B,17.7,15.0,7.7,11.7,10.6,7.0,2.67,2.52,320.0,14.6,7
EOG,124.08999633789062,69.8,B,15.4,15.0,1.6,13.2,15.0,9.6,2.82,0.55,556.0,9.3,7
GILD,149.05999755859375,69.7,B,20.0,15.0,5.8,9.3,10.1,9.5,2.43,-2.46,1122.0,13.0,7
WRD,6.997000217437744,69.6,B,13.7,15.0,12.3,18.4,10.3,0.0,3.79,-3.76,30.0,18.4,7
NU,14.979999542236328,69.6,B,19.8,15.0,9.8,16.0,0.0,9.0,4.2,-12.32,1093.0,16.3,7
DNN,4.170000076293945,69.5,B,20.0,15.0,15.7,8.0,6.9,3.8,5.6,8.31,161.0,21.3,7
SMCI,32.3849983215332,69.4,B,12.8,15.0,7.8,10.6,13.9,9.3,5.14,2.36,1765.0,14.7,7
SNAP,5.210000038146973,69.2,B,19.4,15.0,11.6,15.0,4.2,4.0,4.37,8.25,168.0,17.8,7
TXN,212.07000732421875,69.2,B,20.0,15.0,5.4,13.4,6.8,8.6,2.84,-4.26,1904.0,12.6,7
ENPH,42.2599983215332,69.2,B,20.0,15.0,10.6,5.4,9.2,9.0,6.05,-7.0,462.0,17.0,7
DXCM,73.41000366210938,69.0,B,20.0,15.0,6.2,7.6,15.0,5.2,2.26,0.47,250.0,13.3,7
ORCL,145.32000732421875,69.0,B,17.9,15.0,4.8,15.9,5.8,9.5,4.21,-6.96,3280.0,12.1,7
GSAT,62.279998779296875,68.9,B,20.0,15.0,20.0,3.8,9.2,0.9,6.33,7.32,57.0,28.6,7
COIN,175.89999389648438,68.9,B,20.0,15.0,11.1,7.3,6.8,8.8,5.72,8.64,7149.0,17.4,7
KMB,111.47000122070312,68.8,B,20.0,15.0,8.7,3.0,12.9,9.2,1.8,1.11,583.0,15.4,7
HAL,36.0,68.7,B,18.3,15.0,1.9,15.7,11.4,6.4,3.07,2.56,287.0,9.6,7
DLO,12.229999542236328,68.6,B,12.0,15.0,11.5,15.1,15.0,0.0,4.36,-0.82,15.0,17.8,7
BIIB,191.7899932861328,68.4,B,15.8,15.0,10.4,10.6,13.1,3.5,2.56,-1.47,161.0,16.9,7
NVDA,177.16000366210938,68.2,B,18.9,15.0,7.1,13.8,5.0,8.5,2.88,-5.11,244809.0,14.0,7
RTX,202.47999572753906,68.0,B,13.5,15.0,8.9,7.2,14.0,9.3,2.22,-0.99,1142.0,15.6,7
RR,2.494999885559082,68.0,B,20.0,15.0,19.0,3.9,9.2,0.8,6.31,-7.25,52.0,24.2,7
SBUX,98.02999877929688,68.0,B,20.0,15.0,4.9,10.1,9.2,8.9,2.51,2.9,1810.0,12.2,7
CRM,194.7949981689453,68.0,B,18.7,15.0,1.5,14.9,8.8,9.2,4.4,5.32,2652.0,9.3,7
ABBV,232.02999877929688,67.7,B,20.0,15.0,0.0,9.2,13.6,9.8,2.42,1.24,906.0,7.6,7
CCJ,118.38999938964844,67.7,B,13.3,15.0,4.8,15.3,11.8,7.4,4.31,3.31,339.0,12.1,7
PYPL,46.18000030517578,67.4,B,20.0,15.0,15.3,6.3,2.4,8.4,5.89,12.69,4342.0,21.0,7
ZBH,98.4000015258789,67.3,B,20.0,15.0,8.9,5.0,15.0,3.3,2.0,0.11,146.0,15.6,7
UEC,15.3149995803833,67.3,B,16.4,15.0,13.6,4.6,15.0,2.7,6.19,-0.75,102.0,19.5,7
INCY,101.27999877929688,67.3,B,16.6,15.0,5.6,11.9,15.0,3.3,2.69,-0.69,144.0,12.8,7
DE,629.75,67.2,B,9.1,15.0,0.0,20.0,14.8,8.4,3.5,-1.18,1452.0,7.8,7
IRDM,23.959999084472656,67.2,B,18.9,15.0,8.4,14.2,10.7,0.0,4.51,4.2,40.0,15.1,7
SRPT,16.739999771118164,67.0,B,20.0,15.0,14.7,13.1,3.7,0.5,4.71,-9.22,74.0,20.5,7
RDDT,145.72000122070312,67.0,B,14.5,15.0,4.8,8.2,15.0,9.5,5.57,0.48,642.0,12.1,7
CPNG,19.06999969482422,66.9,B,12.2,15.0,6.2,11.2,13.3,9.1,5.04,2.75,462.0,13.2,7
AMGN,387.9800109863281,66.9,B,20.0,15.0,9.5,4.3,9.1,9.0,1.93,2.25,1360.0,16.1,7
ETN,375.8699951171875,66.9,B,14.7,15.0,0.0,12.9,14.8,9.6,2.79,-0.91,658.0,7.3,7
ROKU,98.4000015258789,66.8,B,19.2,15.0,8.3,15.0,1.2,8.0,4.37,10.17,390.0,15.1,7
OKTA,72.50499725341797,66.7,B,20.0,15.0,11.8,7.7,3.0,9.1,5.65,-11.62,455.0,18.1,7
DHR,210.5800018310547,66.6,B,20.0,15.0,7.9,3.3,11.1,9.3,1.83,1.61,584.0,14.7,7
UPS,115.95999908447266,66.3,B,20.0,15.0,3.7,4.0,15.0,8.6,1.9,0.49,401.0,11.1,7
MDLZ,61.56999969482422,66.1,B,20.0,15.0,0.0,10.0,11.3,9.8,2.5,2.11,510.0,7.5,7
INTU,409.04998779296875,66.0,B,14.9,15.0,8.2,9.7,9.4,8.9,5.31,5.97,5872.0,15.0,7
MELI,1757.4300537109375,65.9,B,18.5,15.0,8.9,15.5,0.0,8.0,4.3,-12.35,15161.0,15.6,7
TGT,113.75,65.7,B,15.4,15.0,0.1,11.9,13.8,9.6,2.69,-1.3,474.0,8.0,7
ILMN,134.5500030517578,65.5,B,17.7,15.0,9.4,17.4,0.0,6.0,3.95,12.42,305.0,15.9,7
ARE,54.029998779296875,65.4,B,11.2,15.0,9.1,13.2,15.0,1.8,2.82,-0.41,75.0,15.7,7
AMZN,210.00999450683594,65.4,B,16.6,15.0,5.4,9.8,9.9,8.7,2.48,2.61,42660.0,12.6,7
ISRG,503.4599914550781,65.3,B,15.0,15.0,8.0,5.2,13.1,8.9,2.02,1.17,1609.0,14.8,7
NOC,724.469970703125,65.2,B,11.0,15.0,2.8,12.4,15.0,9.0,2.74,-0.48,434.0,10.3,7
ASTS,79.19499969482422,65.2,B,18.1,14.9,11.2,0.0,12.5,8.5,7.94,-5.3,2539.0,17.5,7
QBTS,18.780000686645508,65.2,B,17.5,14.4,9.0,0.0,15.0,9.2,7.36,1.57,461.0,15.7,7
MMM,165.27000427246094,65.1,B,19.2,15.0,4.0,4.7,14.3,7.9,1.97,0.79,363.0,11.4,7
MAR,341.6300048828125,65.1,B,20.0,15.0,9.4,5.7,5.7,9.3,2.07,-3.45,697.0,16.0,7
MCHP,74.63999938964844,64.8,B,12.0,15.0,3.7,18.4,6.6,9.1,3.34,-5.13,463.0,11.1,7
HUT,53.22999954223633,64.7,B,20.0,12.4,8.8,0.0,15.0,8.4,8.03,1.64,661.0,15.5,7
WELL,207.1999969482422,64.6,B,20.0,15.0,8.4,1.6,12.5,7.1,1.66,-1.12,329.0,15.2,7
MKTX,192.00999450683594,64.6,B,17.9,15.0,20.0,10.2,0.0,1.5,2.52,8.74,66.0,31.2,7
DDOG,111.86000061035156,64.4,B,15.2,15.0,12.0,4.2,9.2,8.7,6.26,-7.2,1397.0,18.2,7
CMCSA,30.979999542236328,64.3,B,18.1,15.0,6.2,5.8,10.1,9.2,2.08,-2.12,981.0,13.3,7
UNP,264.9700012207031,64.3,B,20.0,15.0,2.4,2.2,15.0,9.7,1.72,0.43,649.0,10.1,7
GBTC,51.130001068115234,64.3,B,15.6,15.0,0.0,14.7,15.0,4.0,2.97,-0.62,179.0,7.9,7
LUNR,16.47800064086914,64.1,B,20.0,11.5,10.8,0.0,13.8,8.0,9.72,-4.7,720.0,17.2,7
F,14.095000267028809,63.9,B,11.4,15.0,0.0,15.5,12.2,9.8,3.05,2.17,778.0,7.4,7
PUBM,8.119999885559082,63.9,B,20.0,15.0,20.0,8.9,0.0,0.0,5.45,23.78,5.0,26.0,7
DIS,106.05000305175781,63.9,B,17.9,15.0,1.5,5.9,14.0,9.6,2.09,-0.92,873.0,9.2,7
